Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
12/27/2024,"16.500,00","16.500,00","16.500,00","16.500,00","0,10",44,726.000,726.000
12/26/2024,"16.500,00","16.500,00","16.400,00","16.483,49","-0,10",81,1.335.163,1.335.163
12/25/2024,"16.500,00","16.500,00","16.500,00","16.500,00","2,59",35,577.500,577.500
12/24/2024,"16.490,00","16.490,00","16.015,00","16.082,86","-2,59",14,225.160,225.160
12/23/2024,"16.500,00","16.553,00","16.500,00","16.509,69","2,73",32,528.310,528.310
12/20/2024,"16.501,00","17.049,00","15.960,00","16.070,92","3,69",122.0,1.960.652,5.548.652
12/19/2024,"15.500,00","15.500,00","15.300,00","15.499,34","2,75",3.036,47.056.000,47.056.000
12/18/2024,"15.300,00","15.300,00","15.000,00","15.084,64","1,17",195.0,2.941.505,2.941.505
12/17/2024,"14.950,00","14.950,00","14.800,00","14.910,92","1,35",262.0,3.906.660,3.906.660
12/16/2024,"14.750,00","14.950,00","14.530,00","14.712,50","-1,78",144.0,2.118.600,2.118.600
12/13/2024,"14.950,00","14.998,00","14.940,00","14.979,32","-0,13",68.0,1.018.594,1.018.594
12/12/2024,"14.999,00","15.000,00","14.999,00","14.999,21","-0,01",200.0,2.999.842,2.999.842
12/11/2024,"15.000,00","15.000,00","15.000,00","15.000,00","-2,21",166.0,2.490.000,2.490.000
12/10/2024,"15.498,00",,,"15.338,33","0,00",0.0,0,0
12/6/2024,"15.498,00","15.500,00","15.300,00","15.338,33","1,81",104.0,1.595.186,1.595.186
12/5/2024,"15.090,00","15.090,00","15.000,00","15.066,05","0,45",155.0,2.335.237,2.335.237
12/4/2024,"14.999,00","14.999,00","14.999,00","14.999,00","-0,01",12.0,179.988,179.988
12/3/2024,"14.999,00","15.000,00","14.999,00","14.999,75","-0,60",61.0,914.985,914.985
12/2/2024,"15.090,00","15.090,00","15.090,00","15.090,00","0,60",16.0,241.440,241.440
11/29/2024,"15.000,00","15.000,00","15.000,00","15.000,00","0,00",27.0,405.000,405.000
11/28/2024,"15.000,00","15.000,00","14.998,00","14.999,96","0,00",199.0,2.984.992,2.984.992
11/27/2024,"14.998,00","15.000,00","14.998,00","14.999,67","0,27",30.0,449.990,449.990
11/26/2024,"15.000,00","15.000,00","14.900,00","14.960,00","0,40",10.0,149.600,149.600
11/25/2024,"14.900,00",,,"14.900,00","0,00",0.0,0,0
11/22/2024,"14.900,00","14.900,00","14.900,00","14.900,00","0,36",6.0,89.400,89.400
11/21/2024,"14.800,00",,,"14.846,67","0,00",0.0,0,0
11/20/2024,"14.800,00","14.950,00","14.790,00","14.846,67","0,26",15.0,222.700,222.700
11/19/2024,"14.750,00",,,"14.808,17","0,00",0.0,0,0
11/18/2024,"14.750,00","15.099,00","14.750,00","14.808,17","-0,62",18.0,266.547,266.547
11/15/2024,"14.900,00",,,"14.900,00","0,00",0.0,0,0
11/14/2024,"14.900,00","14.900,00","14.900,00","14.900,00","0,00",4.0,59.600,59.600
11/13/2024,"14.900,00",,,"14.900,00","0,00",0.0,0,0
11/12/2024,"14.900,00","14.900,00","14.900,00","14.900,00","1,21",10.0,149.000,149.000
11/11/2024,"15.069,00","15.069,00","14.550,00","14.721,59","-2,48",27.0,397.483,397.483
11/8/2024,"15.096,00","15.096,00","15.096,00","15.096,00","-0,01",9.0,135.864,135.864
11/7/2024,"15.098,00","15.098,00","15.098,00","15.098,00","-0,01",17.0,256.666,256.666
11/6/2024,"15.100,00",,,"15.100,00","0,00",0.0,0,0
11/5/2024,"15.100,00","15.100,00","15.100,00","15.100,00","0,00",11.0,166.100,166.100
11/4/2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2.0,30.200,30.200
11/1/2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,68",12.0,177.600,177.600
10/31/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,00",21.0,308.700,308.700
10/30/2024,"14.700,00","14.701,00","14.700,00","14.700,65","0,00",31.0,455.720,455.720
10/29/2024,"14.700,00",,,"14.700,00","0,00",0.0,0,0
10/28/2024,"14.700,00","14.700,00","14.700,00","14.700,00","0,28",34.0,499.800,499.800
10/25/2024,"14.700,00","14.700,00","14.601,00","14.659,28","-0,28",141.0,2.066.958,2.066.958
10/24/2024,"14.700,00","14.700,00","14.700,00","14.700,00","1,38",40.0,588.000,588.000
10/22/2024,"14.500,00",,,"14.500,00","0,00",0.0,0,0
10/21/2024,"14.500,00","14.500,00","14.500,00","14.500,00","-1,49",1.0,14.500,14.500
10/18/2024,"14.700,00",,,"14.720,00","0,00",0.0,0,0
10/17/2024,"14.700,00","14.800,00","14.700,00","14.720,00","-0,20",5.0,73.600,73.600
10/16/2024,"14.700,00","14.790,00","14.700,00","14.748,89","-0,28",18.0,265.480,265.480
10/15/2024,"14.790,00","14.790,00","14.790,00","14.790,00","1,69",3.0,44.370,44.370
10/14/2024,"14.500,00","14.800,00","14.500,00","14.544,08","-1,73",168.0,2.443.405,2.443.405
10/10/2024,"14.800,00","14.800,00","14.800,00","14.800,00","0,00",3.0,44.400,44.400
10/9/2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,20",3.0,44.400,44.400
10/8/2024,"14.800,00","14.979,00","14.800,00","14.829,83","-1,06",12.0,177.958,177.958
10/7/2024,"14.989,00","14.989,00","14.987,00","14.988,49","1,27",47.0,704.459,704.459
10/4/2024,"14.800,00","14.800,00","14.800,00","14.800,00","-0,33",3.0,44.400,44.400
10/3/2024,"14.849,00","14.849,00","14.849,00","14.849,00","-0,01",10.0,148.490,148.490
10/2/2024,"14.850,00","14.850,00","14.850,00","14.850,00","-0,98",13.0,193.050,193.050
10/1/2024,"14.997,00","14.997,00","14.997,00","14.997,00","0,02",6.0,89.982,89.982
9/30/2024,"14.994,00","14.994,00","14.994,00","14.994,00","-0,02",6.0,89.964,89.964
9/27/2024,"14.997,00","14.998,00","14.997,00","14.997,12","0,00",16.0,239.954,239.954
9/26/2024,"14.999,00","14.999,00","14.997,00","14.997,50","1,97",20.0,299.950,299.950
