Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
12/27/2024,"7.150,00","7.150,00","7.000,00","7.138,89","-0,16",27,192.750,192.750
12/26/2024,"7.150,00","7.150,00","7.150,00","7.150,00","0,00",49,350.350,350.350
12/25/2024,"7.150,00","7.150,00","7.150,00","7.150,00","0,46",25,178.750,178.750
12/24/2024,"7.200,00","7.200,00","7.110,00","7.116,92","0,24",13,92.520,92.520
12/23/2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39",10,71.000,71.000
12/20/2024,"7.200,00",,,"7.200,00","0,00",0.0,0,0
12/19/2024,"7.200,00","7.200,00","7.200,00","7.200,00","-2,03",47.0,338.400,338.400
12/18/2024,"7.349,00",,,"7.349,00","0,00",0.0,0,0
12/17/2024,"7.349,00",,,"7.349,00","0,00",0.0,0,0
12/16/2024,"7.349,00",,,"7.349,00","0,00",0.0,0,0
12/13/2024,"7.349,00","7.349,00","7.349,00","7.349,00","0,00",5.0,36.745,36.745
12/12/2024,"7.349,00",,,"7.349,00","0,00",0.0,0,0
12/11/2024,"7.349,00","7.349,00","7.349,00","7.349,00","0,00",25.0,183.725,183.725
12/10/2024,"7.349,00","7.349,00","7.349,00","7.349,00","0,05",39.0,286.611,286.611
12/6/2024,"7.349,00","7.350,00","7.200,00","7.345,18","2,37",1.051,7.719.786,7.719.786
12/5/2024,"7.200,00","7.200,00","7.150,00","7.175,00","1,06",40.0,287.000,287.000
12/4/2024,"7.100,00",,,"7.100,00","0,00",0.0,0,0
12/3/2024,"7.100,00",,,"7.100,00","0,00",0.0,0,0
12/2/2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",20.0,142.000,142.000
11/29/2024,"7.100,00",,,"7.100,00","0,00",0.0,0,0
11/28/2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",19.0,134.900,134.900
11/27/2024,"7.100,00","7.100,00","7.100,00","7.100,00","0,00",100.0,710.000,710.000
11/26/2024,"7.100,00",,,"7.100,00","0,00",0.0,0,0
11/25/2024,"7.100,00","7.100,00","7.100,00","7.100,00","-0,14",10.0,71.000,71.000
11/22/2024,"7.110,00",,,"7.110,00","0,00",0.0,0,0
11/21/2024,"7.110,00","7.110,00","7.110,00","7.110,00","-0,21",5.0,35.550,35.550
11/20/2024,"7.125,00","7.125,00","7.125,00","7.125,00","-0,35",15.0,106.875,106.875
11/19/2024,"7.150,00","7.150,00","7.150,00","7.150,00","-0,77",15.0,107.250,107.250
11/18/2024,"7.250,00",,,"7.205,66","0,00",0.0,0,0
11/15/2024,"7.250,00","7.250,00","7.200,00","7.205,66","-0,25",53.0,381.900,381.900
11/14/2024,"7.250,00","7.250,00","7.200,00","7.223,39","0,32",62.0,447.850,447.850
11/13/2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",57.0,410.400,410.400
11/12/2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,78",5.0,35.000,35.000
11/11/2024,"7.200,00",,,"7.200,00","0,00",0.0,0,0
11/8/2024,"7.200,00",,,"7.200,00","0,00",0.0,0,0
