Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,4350.0,4350.0,4340.0,4346.37,-0.08,157,682380.0,682380.0
07/24/2014,4360.0,4360.0,4350.0,4354.24,0.18,72,313505.0,313505.0
07/25/2014,4398.0,4398.0,4350.0,4380.28,0.6,227,994324.0,994324.0
07/29/2014,4352.0,4352.0,4352.0,4352.0,-0.65,14,60928.0,60928.0
07/30/2014,4350.0,4356.0,4350.0,4352.48,0.01,172,748627.0,748627.0
07/31/2014,4352.0,4352.0,4351.0,4351.43,-0.02,35,152300.0,152300.0
08/01/2014,4353.0,4399.0,4353.0,4363.62,0.28,13,56727.0,56727.0
08/04/2014,4363.0,4363.0,4362.0,4362.46,-0.03,76,331547.0,331547.0
08/05/2014,4362.0,4363.0,4360.0,4360.76,-0.04,393,1713778.0,1713778.0
08/06/2014,4370.0,4399.0,4370.0,4377.77,0.39,159,696065.0,696065.0
08/07/2014,4365.0,4380.0,4362.0,4365.28,-0.29,170,742098.0,742098.0
08/08/2014,4387.0,4387.0,4370.0,4373.78,0.19,45,196820.0,196820.0
08/11/2014,4362.0,4365.0,4362.0,4363.91,-0.23,55,240015.0,240015.0
08/12/2014,4362.0,nan,nan,4363.91,0.0,0,0.0,0.0
08/13/2014,4371.0,4380.0,4365.0,4370.67,0.15,45,196680.0,196680.0
08/14/2014,4370.0,4395.0,4365.0,4385.68,0.34,44,192970.0,192970.0
08/15/2014,4380.0,4380.0,4380.0,4380.0,-0.13,327,1432260.0,1432260.0
08/18/2014,4367.0,4368.0,4367.0,4367.78,-0.28,46,200918.0,200918.0
08/19/2014,4372.0,4372.0,4361.0,4369.9,0.05,50,218495.0,218495.0
08/20/2014,4381.0,4400.0,4372.0,4389.66,0.45,59,258990.0,258990.0
08/21/2014,4400.0,4400.0,4381.0,4383.5,-0.14,76,333146.0,333146.0
08/22/2014,4400.0,4401.0,4390.0,4399.77,0.37,125,549971.0,549971.0
08/25/2014,4400.0,4401.0,4400.0,4400.03,0.01,310,1364010.0,1364010.0
08/26/2014,4400.0,4400.0,4400.0,4400.0,0.0,95,418000.0,418000.0
08/27/2014,4470.0,4470.0,4470.0,4470.0,1.59,12,53640.0,53640.0
08/29/2014,4401.0,4450.0,4401.0,4430.1,-0.89,96,425290.0,425290.0
09/01/2014,4401.0,4402.0,4400.0,4400.58,-0.67,190,836111.0,836111.0
09/02/2014,4400.0,4400.0,4400.0,4400.0,-0.01,231,1016400.0,1016400.0
09/03/2014,4401.0,4401.0,4400.0,4400.03,0.0,355,1562010.0,1562010.0
09/04/2014,4400.0,4400.0,4400.0,4400.0,0.0,255,1122000.0,1122000.0
09/05/2014,4410.0,4410.0,4400.0,4407.84,0.18,408,1798400.0,1798400.0
09/09/2014,4402.0,4402.0,4400.0,4401.31,-0.15,300,1320393.0,1320393.0
09/10/2014,4403.0,4411.0,4401.0,4404.51,0.07,143,629845.0,629845.0
09/11/2014,4410.0,4411.0,4401.0,4410.61,0.14,275,1212918.0,1212918.0
09/12/2014,4410.0,4410.0,4402.0,4409.38,-0.03,78,343932.0,343932.0
09/15/2014,4403.0,4420.0,4403.0,4409.91,0.01,125,551239.0,551239.0
09/16/2014,4401.0,4420.0,4401.0,4403.44,-0.15,226,995178.0,995178.0
09/17/2014,4402.0,4402.0,4400.0,4401.25,-0.05,121,532551.0,532551.0
09/18/2014,4410.0,4410.0,4410.0,4410.0,0.2,87,383670.0,383670.0
09/19/2014,4405.0,4405.0,4405.0,4405.0,-0.11,23,101315.0,101315.0
09/22/2014,4411.0,4411.0,4406.0,4409.69,0.11,277,1221485.0,1221485.0
09/23/2014,4450.0,4489.0,4401.0,4448.86,0.89,354,1574896.0,1574896.0
09/24/2014,4411.0,4411.0,4411.0,4411.0,-0.85,50,220550.0,220550.0
09/25/2014,4411.0,nan,nan,4411.0,0.0,0,0.0,0.0
09/26/2014,4420.0,4430.0,4420.0,4426.67,0.36,15,66400.0,66400.0
09/29/2014,4425.0,4430.0,4420.0,4429.22,0.06,116,513790.0,513790.0
09/30/2014,4450.0,4450.0,4432.0,4433.5,0.1,632,2801975.0,2801975.0
