Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,1195.0,1195.0,1195.0,1195.0,,,Hold,Hold,Hold,1195.0,1195.0,1195.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,1195.0,1195.0,1195.0,1195.0,,,Hold,Hold,Hold,1195.0,1195.0,1195.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,1195.0,1195.0,1195.0,1195.0,,,Hold,Hold,Hold,1195.0,1195.0,1195.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,1195.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,500.0,500.0,500.0,500.0,,,Hold,Hold,Hold,500.0,1021.25,1150.1612903225807,Hold,Sell,Sell,,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,500.0,500.0,500.0,500.0,,,Hold,Hold,Hold,500.0,890.9375,1108.2154006243497,Hold,Sell,Sell,,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,500.0,500.0,500.0,500.0,,,Hold,Hold,Hold,500.0,793.203125,1068.9756973582628,Hold,Sell,Sell,,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,500.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,500.0,500.0,500.0,500.0,797.8571428571429,,Hold,Sell,Hold,500.0,719.90234375,1032.2675878512782,Hold,Sell,Sell,,,,Hold,Hold,Hold,500.0,648.9285714285714,,Hold,Sell,Hold,500.0,797.8571428571429,,Hold,Sell,Hold,,,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-58.333333333333336,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold
08/04/2014,500.0,500.0,500.0,500.0,698.5714285714286,,Hold,Sell,Hold,500.0,664.9267578125,997.9277434737764,Hold,Sell,Sell,,400.7142857142858,,Hold,Buy,Hold,500.0,574.4642857142857,,Hold,Sell,Hold,500.0,625.6584821428573,,Hold,Sell,Hold,,0.0,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-46.66666666666668,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/05/2014,500.0,500.0,500.0,500.0,599.2857142857143,,Hold,Sell,Hold,500.0,623.695068359375,965.8033729270812,Hold,Sell,Sell,,458.63095238095246,,Hold,Buy,Hold,500.0,524.8214285714286,,Hold,Sell,Hold,500.0,531.4146205357146,,Hold,Sell,Hold,,0.0,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-38.88888888888891,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/06/2014,500.0,500.0,500.0,500.0,500.0,,Hold,Hold,Hold,500.0,592.7713012695312,935.7515424156567,Hold,Sell,Sell,651.6363636363637,491.72619047619054,,Sell,Buy,Hold,500.0,500.0,,Hold,Hold,Hold,500.0,484.2926897321428,,Hold,Buy,Hold,,0.0,,Hold,Buy,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,,,Hold,Hold,Hold
