Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,395.0,395.0,395.0,395.0,,,Hold,Hold,Hold,395.0,395.0,395.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,395.0,,,Hold,Hold,Hold,395.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,400.0,400.0,400.0,400.0,,,Hold,Hold,Hold,400.0,396.25,395.32258064516134,Hold,Buy,Buy,,,,Hold,Hold,Hold,400.0,,,Hold,Hold,Hold,400.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,412.0,412.0,400.0,412.0,,,Hold,Hold,Hold,412.0,400.1875,396.3985431841832,Hold,Buy,Buy,,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,100.0,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,0.0,,,Sell,Hold,Hold
07/29/2014,412.0,412.0,412.0,412.0,,,Hold,Hold,Hold,412.0,403.140625,397.40508878520365,Hold,Buy,Buy,,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,412.0,412.0,412.0,412.0,,,Hold,Hold,Hold,412.0,405.35546875,398.3466959603518,Hold,Buy,Buy,,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,412.0,412.0,412.0,412.0,,,Hold,Hold,Hold,412.0,407.0166015625,399.2275542854904,Hold,Buy,Buy,,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,412.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,410.0,410.0,410.0,410.0,407.57142857142856,,Hold,Buy,Hold,410.0,407.762451171875,399.9225507832007,Hold,Buy,Buy,,,,Hold,Hold,Hold,410.0,410.0357142857143,,Hold,Sell,Hold,410.0,407.57142857142856,,Hold,Buy,Hold,0.0,,,Buy,Hold,Hold,,88.23529411764706,,Hold,Hold,,Hold,,,36.84210526315789,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,-11.764705882352944,,Hold,Sell,Hold
08/04/2014,410.0,410.0,410.0,410.0,409.7142857142857,,Hold,Buy,Hold,410.0,408.32183837890625,400.5727087971877,Hold,Buy,Buy,,410.6706349206349,,Hold,Sell,Hold,410.0,410.64285714285717,,Hold,Sell,Hold,410.0,408.97544642857133,,Hold,Buy,Hold,,81.46538889930414,,Hold,Sell,Hold,,83.33333333333333,,Hold,Hold,,Hold,,,19.444444444443963,,Hold,Hold,Hold,,62.93077779860828,,Hold,Sell,Hold,,-16.666666666666664,,Hold,Sell,Hold
08/05/2014,402.0,402.0,402.0,402.0,410.0,,Hold,Sell,Hold,402.0,406.7413787841797,400.664792100595,Hold,Sell,Buy,,405.531746031746,,Hold,Sell,Hold,402.0,408.7142857142857,,Hold,Sell,Hold,402.0,405.1188616071427,,Hold,Sell,Hold,0.0,40.548066848249704,,Buy,Hold,Hold,,16.666666666666668,,Hold,Hold,,Hold,,,-195.69892473118378,,Hold,Buy,Hold,-100.0,-18.903866303500603,,Buy,Buy,Hold,,-83.33333333333334,,Hold,Buy,Hold
08/06/2014,400.0,400.0,400.0,400.0,408.2857142857143,,Hold,Sell,Hold,400.0,405.05603408813477,400.62190228765337,Hold,Sell,Sell,413.78181818181815,400.06349206349205,,Sell,Sell,Hold,400.0,406.2142857142857,,Hold,Sell,Hold,400.0,401.8155691964286,,Hold,Sell,Hold,0.0,35.36700112156315,,Buy,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-132.67973856209125,,Hold,Buy,Hold,-100.0,-29.265997756873713,,Buy,Buy,Hold,,-100.0,,Hold,Buy,Hold
