Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,2150.0,2150.0,2149.0,2149.83,2.37,270,580455.0,580455.0
07/24/2014,2180.0,2180.0,2180.0,2180.0,1.4,50,109000.0,109000.0
07/25/2014,2245.0,2245.0,2179.0,2235.86,2.56,458,1024025.0,1024025.0
07/29/2014,2300.0,2328.0,2240.0,2287.23,2.3,130,297340.0,297340.0
07/30/2014,2300.0,nan,nan,2287.23,0.0,0,0.0,0.0
07/31/2014,2240.0,2240.0,2240.0,2240.0,-2.06,5,11200.0,11200.0
08/01/2014,2100.0,2240.0,2100.0,2115.1,-5.58,676,1429810.0,1429810.0
08/04/2014,2100.0,2100.0,2062.0,2096.44,-0.88,715,1498952.0,1498952.0
08/05/2014,2150.0,2150.0,2101.0,2111.85,0.74,338,713804.0,713804.0
08/06/2014,2200.0,2200.0,2175.0,2197.96,4.08,269,591250.0,591250.0
08/07/2014,2102.0,2200.0,2102.0,2136.45,-2.8,707,1510470.0,1510470.0
08/08/2014,2101.0,2130.0,2101.0,2103.98,-1.52,540,1136150.0,1136150.0
08/11/2014,2101.0,nan,nan,2103.98,0.0,0,0.0,0.0
08/12/2014,2110.0,2110.0,2110.0,2110.0,0.29,10,21100.0,21100.0
08/13/2014,2170.0,2170.0,2170.0,2170.0,2.84,10,21700.0,21700.0
08/14/2014,2180.0,2200.0,2180.0,2180.28,0.47,724,1578520.0,1578520.0
08/15/2014,2151.0,2151.0,2151.0,2151.0,-1.34,10,21510.0,21510.0
08/18/2014,2151.0,2200.0,2151.0,2176.61,1.19,210,457088.0,457088.0
08/19/2014,2151.0,2151.0,2151.0,2151.0,-1.18,23,49473.0,49473.0
08/20/2014,2152.0,2200.0,2152.0,2171.26,0.94,141,306147.0,306147.0
08/21/2014,2170.0,2170.0,2170.0,2170.0,-0.06,50,108500.0,108500.0
08/22/2014,2170.0,2170.0,2155.0,2169.77,-0.01,323,700835.0,700835.0
08/25/2014,2170.0,nan,nan,2169.77,0.0,0,0.0,0.0
08/26/2014,2200.0,2200.0,2170.0,2195.48,1.18,279,612540.0,612540.0
08/27/2014,2200.0,2220.0,2200.0,2216.0,0.93,10,22160.0,22160.0
08/29/2014,2200.0,2220.0,2200.0,2205.7,-0.46,500,1102850.0,1102850.0
09/01/2014,2220.0,2220.0,2201.0,2217.81,0.55,373,827243.0,827243.0
09/02/2014,2200.0,2205.0,2200.0,2201.11,-0.75,1383,3044130.0,3044130.0
09/03/2014,2200.0,2201.0,2200.0,2200.48,-0.03,207,455500.0,455500.0
09/04/2014,2200.0,nan,nan,2200.48,0.0,0,0.0,0.0
09/05/2014,2200.0,nan,nan,2200.48,0.0,0,0.0,0.0
09/09/2014,2151.0,2162.0,2150.0,2158.2,-1.92,284,612929.0,612929.0
09/10/2014,2160.0,2190.0,2150.0,2167.21,0.42,61,132200.0,132200.0
09/11/2014,2189.0,2189.0,2151.0,2187.19,0.92,105,229655.0,229655.0
09/12/2014,2151.0,2170.0,2151.0,2168.47,-0.86,154,333945.0,333945.0
09/15/2014,2170.0,2170.0,2169.0,2169.61,0.05,396,859165.0,859165.0
09/16/2014,2150.0,2151.0,2150.0,2150.53,-0.88,356,765590.0,765590.0
09/17/2014,2150.0,2150.0,2150.0,2150.0,-0.02,501,1077150.0,1077150.0
09/18/2014,2200.0,2200.0,2169.0,2197.61,2.21,6235,13702085.0,13702085.0
09/19/2014,2151.0,2152.0,2151.0,2151.5,-2.1,50,107575.0,107575.0
09/22/2014,2151.0,nan,nan,2151.5,0.0,0,0.0,0.0
09/23/2014,2151.0,2151.0,2151.0,2151.0,-0.02,25,53775.0,53775.0
09/24/2014,2150.0,2150.0,2150.0,2150.0,-0.05,30,64500.0,64500.0
09/25/2014,2200.0,2200.0,2198.0,2199.12,2.28,42,9236297.0,9236297.0
09/26/2014,2200.0,nan,nan,2199.12,0.0,0,0.0,0.0
09/29/2014,2134.0,2134.0,2134.0,2134.0,-2.96,250,533500.0,533500.0
09/30/2014,2111.0,2140.0,2111.0,2134.93,0.04,243,518787.0,518787.0
10/01/2014,2121.0,2121.0,2121.0,2121.0,-0.65,100,212100.0,212100.0
10/02/2014,2140.0,2197.0,2131.0,2190.39,3.27,4157,9105437.0,9105437.0
10/03/2014,2180.0,2196.0,2180.0,2180.25,-0.46,640,1395360.0,1395360.0
10/06/2014,2200.0,2200.0,2170.0,2196.99,0.77,1756,3857912.0,3857912.0
10/07/2014,2150.0,2161.0,2150.0,2152.56,-2.02,508,1093500.0,1093500.0
10/08/2014,2150.0,2150.0,2150.0,2150.0,-0.12,345,741750.0,741750.0
10/09/2014,2150.0,2150.0,2150.0,2150.0,0.0,530,1139500.0,1139500.0
10/10/2014,2150.0,2150.0,2150.0,2150.0,0.0,210,451500.0,451500.0
10/13/2014,2150.0,2151.0,2150.0,2150.06,0.0,104,2236060.0,2236060.0
10/14/2014,2150.0,2170.0,2150.0,2159.42,0.44,138,298000.0,298000.0
10/15/2014,2170.0,2170.0,2155.0,2164.74,0.25,1507,3262260.0,3262260.0
10/16/2014,2190.0,2199.0,2170.0,2174.98,0.47,860,1870484.0,1870484.0
10/17/2014,2190.0,nan,nan,2174.98,0.0,0,0.0,0.0
10/20/2014,2191.0,2191.0,2191.0,2191.0,0.74,200,438200.0,438200.0
10/21/2014,2191.0,nan,nan,2191.0,0.0,0,0.0,0.0
10/22/2014,2190.0,2190.0,2190.0,2190.0,-0.05,580,1270200.0,1270200.0
10/24/2014,2190.0,2190.0,2180.0,2189.92,0.0,627,1373080.0,1373080.0
10/27/2014,2180.0,2190.0,2171.0,2175.11,-0.68,157,341492.0,341492.0
10/28/2014,2172.0,2172.0,2171.0,2171.89,-0.15,45,97735.0,97735.0
10/29/2014,2150.0,2170.0,2150.0,2166.57,-0.24,233,504810.0,504810.0
10/30/2014,2170.0,2170.0,2170.0,2170.0,0.16,245,531650.0,531650.0
10/31/2014,2168.0,2170.0,2167.0,2167.97,-0.09,120,260156.0,260156.0
11/03/2014,2132.0,2150.0,2132.0,2141.27,-1.23,177,379004.0,379004.0
11/04/2014,2100.0,2131.0,2100.0,2120.62,-0.96,426,903382.0,903382.0
11/05/2014,2100.0,2100.0,2100.0,2100.0,-0.97,86,180600.0,180600.0
11/06/2014,2100.0,2100.0,2037.0,2088.91,-0.53,1393,2909857.0,2909857.0
11/07/2014,2101.0,2101.0,2101.0,2101.0,0.58,11,23111.0,23111.0
11/10/2014,2110.0,2110.0,2100.0,2100.41,-0.03,730,1533300.0,1533300.0
11/11/2014,2113.0,2130.0,2110.0,2112.85,0.59,405,855705.0,855705.0
11/12/2014,2140.0,2170.0,2112.0,2147.89,1.66,2654,5700510.0,5700510.0
11/13/2014,2152.0,2170.0,2150.0,2151.4,0.16,509,1095064.0,1095064.0
11/14/2014,2152.0,2160.0,2150.0,2155.54,0.19,65,140110.0,140110.0
11/17/2014,2150.0,2151.0,2150.0,2150.22,-0.25,244,524653.0,524653.0
