Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,20000.0,20000.0,20000.0,20000.0,2.56,8,160000.0,160000.0
07/24/2014,21000.0,21000.0,20600.0,20942.86,4.71,14,293200.0,293200.0
07/25/2014,22151.0,22161.0,21500.0,21873.9,4.45,21,459352.0,459352.0
07/29/2014,22000.0,22010.0,21500.0,21960.39,0.4,97,2130158.0,2130158.0
07/30/2014,22000.0,22000.0,22000.0,22000.0,0.18,2,44000.0,44000.0
07/31/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
08/01/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
08/04/2014,21340.0,21340.0,21340.0,21340.0,-3.0,1,21340.0,21340.0
08/05/2014,21340.0,21340.0,21340.0,21340.0,0.0,16,341440.0,341440.0
08/06/2014,21340.0,21340.0,21340.0,21340.0,0.0,10,213400.0,213400.0
08/07/2014,21340.0,nan,nan,21340.0,0.0,0,0.0,0.0
08/08/2014,21340.0,nan,nan,21340.0,0.0,0,0.0,0.0
08/11/2014,20800.0,20800.0,20800.0,20800.0,-2.53,1,20800.0,20800.0
08/12/2014,20600.0,20800.0,20600.0,20635.58,-0.79,12,247627.0,247627.0
08/13/2014,21000.0,21250.0,21000.0,21125.0,2.37,2,42250.0,42250.0
08/14/2014,21000.0,21000.0,21000.0,21000.0,-0.59,1,21000.0,21000.0
08/15/2014,21000.0,21000.0,21000.0,21000.0,0.0,20,420000.0,420000.0
08/18/2014,20500.0,21000.0,20500.0,20750.0,-1.19,10,207500.0,207500.0
08/19/2014,20500.0,20500.0,20500.0,20500.0,-1.2,6,123000.0,123000.0
08/20/2014,20500.0,20500.0,20500.0,20500.0,0.0,5,102500.0,102500.0
08/21/2014,20999.0,21000.0,20800.0,20923.0,2.06,13,271999.0,271999.0
08/22/2014,20800.0,21000.0,20800.0,20866.67,-0.27,18,375600.0,375600.0
08/25/2014,21000.0,21000.0,20800.0,20986.67,0.58,15,314800.0,314800.0
08/26/2014,21500.0,21500.0,21000.0,21289.29,1.44,14,298050.0,298050.0
08/27/2014,21600.0,21927.0,21600.0,21615.57,1.53,21,453927.0,453927.0
08/29/2014,22000.0,22000.0,22000.0,22000.0,1.78,2,44000.0,44000.0
09/01/2014,22000.0,22000.0,22000.0,22000.0,0.0,14,308000.0,308000.0
09/02/2014,21800.0,21800.0,21800.0,21800.0,-0.91,5,109000.0,109000.0
09/03/2014,21800.0,nan,nan,21800.0,0.0,0,0.0,0.0
09/04/2014,21150.0,21150.0,21150.0,21150.0,-2.98,3,63450.0,63450.0
09/05/2014,21150.0,21150.0,21150.0,21150.0,0.0,4,84600.0,84600.0
09/09/2014,21500.0,21500.0,21500.0,21500.0,1.65,2,43000.0,43000.0
09/10/2014,21000.0,21000.0,21000.0,21000.0,-2.33,8,168000.0,168000.0
09/11/2014,21499.0,21499.0,21010.0,21454.55,2.16,11,236000.0,236000.0
09/12/2014,21500.0,21500.0,21499.0,21499.38,0.21,8,171995.0,171995.0
09/15/2014,21500.0,nan,nan,21499.38,0.0,0,0.0,0.0
09/16/2014,21000.0,21100.0,21000.0,21020.0,-2.23,10,210200.0,210200.0
09/17/2014,21498.0,21498.0,21000.0,21467.59,2.13,17,364949.0,364949.0
09/18/2014,21000.0,21000.0,21000.0,21000.0,-2.18,6,126000.0,126000.0
09/19/2014,21000.0,21000.0,21000.0,21000.0,0.0,1,21000.0,21000.0
09/22/2014,20605.0,20605.0,20516.0,20568.6,-2.05,5,102843.0,102843.0
09/23/2014,20500.0,20500.0,20500.0,20500.0,-0.33,7,143500.0,143500.0
09/24/2014,20800.0,20800.0,20601.0,20629.79,0.63,14,288817.0,288817.0
09/25/2014,20500.0,20503.0,20500.0,20501.5,-0.62,8,164012.0,164012.0
09/26/2014,21000.0,21000.0,21000.0,21000.0,2.43,2,42000.0,42000.0
09/29/2014,21000.0,21000.0,21000.0,21000.0,0.0,13,273000.0,12768000.0
09/30/2014,21000.0,nan,nan,21000.0,0.0,0,0.0,0.0
10/01/2014,21490.0,21490.0,21000.0,21326.67,1.56,3,63980.0,63980.0
10/02/2014,22300.0,22300.0,21490.0,21916.43,2.77,70,1534150.0,1534150.0
10/03/2014,22500.0,22500.0,22300.0,22409.09,2.25,11,246500.0,246500.0
10/06/2014,23987.0,23987.0,23000.0,23398.28,4.41,18,421169.0,421169.0
10/07/2014,22700.0,22700.0,22700.0,22700.0,-2.98,20,454000.0,454000.0
