Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,3060.0,nan,nan,3060.0,0.0,0,0.0,0.0
07/24/2014,3060.0,nan,nan,3060.0,0.0,0,0.0,0.0
07/25/2014,3062.0,3062.0,3062.0,3062.0,0.07,25,76550.0,76550.0
07/29/2014,3100.0,3100.0,3100.0,3100.0,1.24,100,310000.0,310000.0
07/30/2014,3200.0,3200.0,3200.0,3200.0,3.23,210,672000.0,672000.0
07/31/2014,3200.0,nan,nan,3200.0,0.0,0,0.0,0.0
08/01/2014,3200.0,nan,nan,3200.0,0.0,0,0.0,0.0
08/04/2014,3200.0,nan,nan,3200.0,0.0,0,0.0,0.0
08/05/2014,3100.0,3100.0,3100.0,3100.0,-3.12,46,142600.0,142600.0
08/06/2014,3100.0,3100.0,3100.0,3100.0,0.0,25,77500.0,77500.0
08/07/2014,3100.0,3100.0,3100.0,3100.0,0.0,34,105400.0,105400.0
08/08/2014,3100.0,nan,nan,3100.0,0.0,0,0.0,0.0
08/11/2014,3100.0,nan,nan,3100.0,0.0,0,0.0,0.0
08/12/2014,3101.0,3101.0,3101.0,3101.0,0.03,19,58919.0,58919.0
08/13/2014,3080.0,3081.0,3080.0,3080.46,-0.66,65,200230.0,200230.0
08/14/2014,3080.0,nan,nan,3080.46,0.0,0,0.0,0.0
08/15/2014,3080.0,nan,nan,3080.46,0.0,0,0.0,0.0
08/18/2014,3080.0,nan,nan,3080.46,0.0,0,0.0,0.0
08/19/2014,3100.0,3100.0,3100.0,3100.0,0.63,34,105400.0,105400.0
08/20/2014,3100.0,nan,nan,3100.0,0.0,0,0.0,0.0
08/21/2014,3101.0,3102.0,3101.0,3101.33,0.04,30,93040.0,93040.0
08/22/2014,3101.0,nan,nan,3101.33,0.0,0,0.0,0.0
08/25/2014,3101.0,3101.0,3101.0,3101.0,-0.01,61,189161.0,189161.0
08/26/2014,3150.0,3150.0,3149.0,3149.67,1.57,258,812614.0,812614.0
08/27/2014,3150.0,nan,nan,3149.67,0.0,0,0.0,0.0
08/29/2014,3150.0,3150.0,3150.0,3150.0,0.01,68,214200.0,214200.0
09/01/2014,3200.0,3200.0,3150.0,3189.7,1.26,200,637939.0,637939.0
09/02/2014,3200.0,nan,nan,3189.7,0.0,0,0.0,0.0
09/03/2014,3200.0,nan,nan,3189.7,0.0,0,0.0,0.0
09/04/2014,3200.0,nan,nan,3189.7,0.0,0,0.0,0.0
09/05/2014,3200.0,nan,nan,3189.7,0.0,0,0.0,0.0
09/09/2014,3200.0,nan,nan,3189.7,0.0,0,0.0,0.0
09/10/2014,3180.0,3180.0,3180.0,3180.0,-0.3,10,31800.0,31800.0
09/11/2014,3180.0,nan,nan,3180.0,0.0,0,0.0,0.0
09/12/2014,3202.0,3202.0,3202.0,3202.0,0.69,10,32020.0,32020.0
09/15/2014,3202.0,3202.0,3202.0,3202.0,0.0,20,64040.0,64040.0
09/16/2014,3202.0,nan,nan,3202.0,0.0,0,0.0,0.0
09/17/2014,3202.0,nan,nan,3202.0,0.0,0,0.0,0.0
09/18/2014,3203.0,3203.0,3203.0,3203.0,0.03,25,80075.0,80075.0
09/19/2014,3203.0,nan,nan,3203.0,0.0,0,0.0,0.0
09/22/2014,3203.0,nan,nan,3203.0,0.0,0,0.0,0.0
09/23/2014,3203.0,nan,nan,3203.0,0.0,0,0.0,0.0
09/24/2014,3250.0,3250.0,3250.0,3250.0,1.47,20,65000.0,65000.0
09/25/2014,3214.0,3214.0,3214.0,3214.0,-1.11,10,32140.0,32140.0
09/26/2014,3285.0,3285.0,3284.0,3284.82,2.2,85,279210.0,279210.0
09/29/2014,3285.0,3285.0,3285.0,3285.0,0.01,70,229950.0,229950.0
09/30/2014,3300.0,3300.0,3300.0,3300.0,0.46,20,66000.0,66000.0
10/01/2014,3300.0,nan,nan,3300.0,0.0,0,0.0,0.0
10/02/2014,3300.0,3300.0,3300.0,3300.0,0.0,10,33000.0,33000.0
10/03/2014,3400.0,3400.0,3400.0,3400.0,3.03,17,57800.0,57800.0
10/06/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
10/07/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
10/08/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
10/09/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
10/10/2014,3430.0,3430.0,3430.0,3430.0,0.88,20,68600.0,68600.0
10/13/2014,3500.0,3500.0,3499.0,3499.17,2.02,60,209950.0,209950.0
10/14/2014,3470.0,3470.0,3470.0,3470.0,-0.83,5,17350.0,17350.0
10/15/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/16/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/17/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/20/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/21/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/22/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/24/2014,3470.0,nan,nan,3470.0,0.0,0,0.0,0.0
10/27/2014,3520.0,3521.0,3510.0,3519.45,1.43,110,387140.0,387140.0
10/28/2014,3520.0,nan,nan,3519.45,0.0,0,0.0,0.0
10/29/2014,3520.0,nan,nan,3519.45,0.0,0,0.0,0.0
10/30/2014,3700.0,3700.0,3700.0,3700.0,5.13,38,140600.0,140600.0
10/31/2014,3800.0,3800.0,3800.0,3800.0,2.7,20,76000.0,76000.0
11/03/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/04/2014,3800.0,3800.0,3800.0,3800.0,0.0,30,114000.0,114000.0
11/05/2014,3800.0,3800.0,3800.0,3800.0,0.0,393,1493400.0,1493400.0
11/06/2014,3800.0,3800.0,3800.0,3800.0,0.0,360,1368000.0,1368000.0
11/07/2014,3800.0,3800.0,3800.0,3800.0,0.0,30,114000.0,114000.0
11/10/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/11/2014,3800.0,3800.0,3800.0,3800.0,0.0,50,190000.0,190000.0
11/12/2014,3800.0,3800.0,3800.0,3800.0,0.0,20,76000.0,76000.0
11/13/2014,3800.0,3800.0,3800.0,3800.0,0.0,156,592800.0,592800.0
11/14/2014,3800.0,3800.0,3800.0,3800.0,0.0,139,528200.0,528200.0
11/17/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/18/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/19/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/20/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
11/21/2014,3710.0,3710.0,3710.0,3710.0,-2.37,50,185500.0,185500.0
11/24/2014,3700.0,3700.0,3700.0,3700.0,-0.27,26,96200.0,96200.0
11/25/2014,3700.0,3700.0,3700.0,3700.0,0.0,5,18500.0,18500.0
11/26/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
11/27/2014,3700.0,3700.0,3700.0,3700.0,0.0,40,148000.0,148000.0
11/28/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/01/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/02/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/04/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/05/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/09/2014,3700.0,3700.0,3700.0,3700.0,0.0,25,92500.0,92500.0
12/10/2014,3700.0,3700.0,3700.0,3700.0,0.0,10,37000.0,37000.0
12/11/2014,3700.0,3700.0,3700.0,3700.0,0.0,70,259000.0,259000.0
12/12/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/15/2014,3700.0,nan,nan,3700.0,0.0,0,0.0,0.0
12/16/2014,3701.0,3701.0,3701.0,3701.0,0.03,10,37010.0,37010.0
12/17/2014,3701.0,nan,nan,3701.0,0.0,0,0.0,0.0
12/18/2014,3701.0,nan,nan,3701.0,0.0,0,0.0,0.0
12/19/2014,3800.0,3801.0,3800.0,3800.75,2.7,20,76015.0,76015.0
12/22/2014,3800.0,3800.0,3800.0,3800.0,-0.02,25,95000.0,95000.0
12/23/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
12/24/2014,3800.0,3800.0,3800.0,3800.0,0.0,26,98800.0,98800.0
12/25/2014,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
12/26/2014,3900.0,3900.0,3900.0,3900.0,2.63,100,390000.0,390000.0
12/29/2014,3900.0,3900.0,3900.0,3900.0,0.0,200,780000.0,780000.0
12/30/2014,3900.0,3900.0,3900.0,3900.0,0.0,200,780000.0,780000.0
01/02/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/05/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/08/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/09/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/12/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/13/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/14/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/15/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/16/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/20/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/21/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/22/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/23/2015,3900.0,nan,nan,3900.0,0.0,0,0.0,0.0
01/26/2015,3800.0,3800.0,3800.0,3800.0,-2.56,15,57000.0,57000.0
01/27/2015,3800.0,3800.0,3800.0,3800.0,0.0,465,1767000.0,1767000.0
01/28/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
01/29/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
01/30/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
02/02/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
02/03/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
02/04/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
02/05/2015,3800.0,nan,nan,3800.0,0.0,0,0.0,0.0
02/06/2015,3686.0,3686.0,3686.0,3686.0,-3.0,20,73720.0,73720.0
02/09/2015,3686.0,nan,nan,3686.0,0.0,0,0.0,0.0
02/10/2015,3686.0,nan,nan,3686.0,0.0,0,0.0,0.0
02/11/2015,3686.0,nan,nan,3686.0,0.0,0,0.0,0.0
02/12/2015,3640.0,3640.0,3600.0,3617.14,-1.87,70,253200.0,253200.0
02/13/2015,3600.0,3600.0,3600.0,3600.0,-0.47,190,684000.0,684000.0
02/16/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/17/2015,3600.0,3600.0,3600.0,3600.0,0.0,30,108000.0,108000.0
02/18/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/19/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/20/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/23/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/24/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/25/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/26/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
02/27/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
03/02/2015,3600.0,nan,nan,3600.0,0.0,0,0.0,0.0
03/03/2015,3708.0,3708.0,3708.0,3708.0,3.0,30,111240.0,111240.0
