Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,2000.0,2000.0,2000.0,2000.0,,,Hold,Hold,Hold,2000.0,2000.0,2000.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,2000.0,2000.0,2000.0,2000.0,,,Hold,Hold,Hold,2000.0,2000.0,2000.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,2000.0,2000.0,2000.0,2000.0,,,Hold,Hold,Hold,2000.0,2000.0,2000.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,2000.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,2060.0,2060.0,2060.0,2060.0,,,Hold,Hold,Hold,2060.0,2015.0,2003.8709677419356,Hold,Buy,Buy,,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,2060.0,2060.0,2060.0,2060.0,,,Hold,Hold,Hold,2060.0,2026.25,2007.492195629553,Hold,Buy,Buy,,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,2060.0,2060.0,2060.0,2060.0,,,Hold,Hold,Hold,2060.0,2034.6875,2010.8797959115175,Hold,Buy,Buy,,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,2060.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,2060.0,2060.0,2060.0,2060.0,2034.2857142857142,,Hold,Buy,Hold,2060.0,2041.015625,2014.048841336581,Hold,Buy,Buy,,,,Hold,Hold,Hold,2060.0,2047.142857142857,,Hold,Buy,Hold,2060.0,2034.2857142857142,,Hold,Buy,Hold,,,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,58.333333333333464,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,0.0,,Hold,Sell,Hold
08/04/2014,2060.0,2060.0,2060.0,2060.0,2042.857142857143,,Hold,Buy,Hold,2060.0,2045.76171875,2017.0134322180922,Hold,Buy,Buy,,2068.571428571429,,Hold,Sell,Hold,2060.0,2053.5714285714284,,Hold,Buy,Hold,2060.0,2049.1517857142853,,Hold,Buy,Hold,,100.0,,Hold,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,46.666666666666615,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
08/05/2014,2060.0,2060.0,2060.0,2060.0,2051.4285714285716,,Hold,Buy,Hold,2060.0,2049.3212890625,2019.7867591717638,Hold,Buy,Buy,,2063.571428571429,,Hold,Sell,Hold,2060.0,2057.8571428571427,,Hold,Buy,Hold,2060.0,2057.2879464285706,,Hold,Buy,Hold,,100.0,,Hold,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,38.888888888888545,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
08/06/2014,2060.0,2060.0,2060.0,2060.0,2060.0,,Hold,Hold,Hold,2060.0,2051.990966796875,2022.3811618058437,Hold,Buy,Buy,2046.909090909091,2060.714285714286,,Buy,Sell,Hold,2060.0,2060.0,,Hold,Hold,Hold,2060.0,2061.3560267857147,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,Hold
