Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
07/24/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
07/25/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
07/29/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
07/30/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
07/31/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/01/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/04/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/05/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/06/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/07/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/08/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/11/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/12/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/13/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/14/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/15/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/18/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/19/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/20/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/21/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/22/2014,11740.0,nan,nan,11740.0,0.0,0,0.0,0.0
08/25/2014,12550.0,12550.0,12550.0,12550.0,6.9,5,62750.0,62750.0
08/26/2014,12550.0,nan,nan,12550.0,0.0,0,0.0,0.0
08/27/2014,12550.0,nan,nan,12550.0,0.0,0,0.0,0.0
08/29/2014,12550.0,nan,nan,12550.0,0.0,0,0.0,0.0
09/01/2014,12302.0,12302.0,12302.0,12302.0,-1.98,50,615100.0,615100.0
09/02/2014,12302.0,nan,nan,12302.0,0.0,0,0.0,0.0
09/03/2014,12302.0,nan,nan,12302.0,0.0,0,0.0,0.0
09/04/2014,12302.0,nan,nan,12302.0,0.0,0,0.0,0.0
09/05/2014,12671.0,12671.0,12671.0,12671.0,3.0,5,63355.0,63355.0
09/09/2014,12671.0,nan,nan,12671.0,0.0,0,0.0,0.0
09/10/2014,13532.0,13532.0,13532.0,13532.0,6.8,4,54128.0,54128.0
09/11/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/12/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/15/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/16/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/17/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/18/2014,13532.0,nan,nan,13532.0,0.0,0,0.0,0.0
09/19/2014,13420.0,13420.0,13420.0,13420.0,-0.83,4,53680.0,53680.0
09/22/2014,13350.0,13350.0,13350.0,13350.0,-0.52,20,267000.0,267000.0
09/23/2014,13700.0,13700.0,13700.0,13700.0,2.62,5,68500.0,68500.0
09/24/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
09/25/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
09/26/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
09/29/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
09/30/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
10/01/2014,13700.0,nan,nan,13700.0,0.0,0,0.0,0.0
10/02/2014,13700.0,13700.0,13700.0,13700.0,0.0,8,109600.0,109600.0
