Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
07/24/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
07/25/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
07/29/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
07/30/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
07/31/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/01/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/04/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/05/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/06/2014,39.0,39.0,39.0,39.0,2.63,1,39000.0,39000.0
08/07/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/08/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/11/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/12/2014,39.0,39.0,39.0,39.0,0.0,1,39000.0,39000.0
08/13/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/14/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/15/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/18/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/19/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/20/2014,39.0,nan,nan,39.0,0.0,0,0.0,0.0
08/21/2014,38.0,38.0,38.0,38.0,-2.56,500,19000.0,19000.0
08/22/2014,38.0,38.0,38.0,38.0,0.0,500,19000.0,19000.0
08/25/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/26/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/27/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
08/29/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
09/01/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
09/02/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
09/03/2014,38.0,nan,nan,38.0,0.0,0,0.0,0.0
09/04/2014,37.0,37.0,37.0,37.0,-2.63,1663,61531.0,61531.0
09/05/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/09/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/10/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/11/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/12/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/15/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/16/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/17/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/18/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/19/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/22/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/23/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/24/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/25/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/26/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/29/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
09/30/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/01/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/02/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/03/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/06/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/07/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/08/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/09/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/10/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/13/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/14/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/15/2014,37.0,37.0,37.0,37.0,0.0,300,11100.0,11100.0
10/16/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/17/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/20/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/21/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/22/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/24/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/27/2014,37.0,37.0,37.0,37.0,0.0,875,32375.0,32375.0
10/28/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/29/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/30/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
10/31/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
11/03/2014,37.0,nan,nan,37.0,0.0,0,0.0,0.0
11/04/2014,40.0,40.0,40.0,40.0,8.11,1,40000.0,40000.0
11/05/2014,40.0,nan,nan,40.0,0.0,0,0.0,0.0
11/06/2014,40.0,nan,nan,40.0,0.0,0,0.0,0.0
11/07/2014,40.0,nan,nan,40.0,0.0,0,0.0,0.0
11/10/2014,40.0,nan,nan,40.0,0.0,0,0.0,0.0
11/11/2014,42.0,42.0,42.0,42.0,5.0,190,7980.0,7980.0
11/12/2014,46.0,46.0,43.0,44.25,5.36,514,22744.0,22744.0
11/13/2014,46.0,nan,nan,44.25,0.0,0,0.0,0.0
11/14/2014,45.0,45.0,45.0,45.0,1.69,1708,768600.0,768600.0
11/17/2014,46.0,46.0,45.0,45.03,0.07,11208,504675.0,504675.0
11/18/2014,49.0,49.0,46.0,46.55,3.38,11,512000.0,512000.0
11/19/2014,51.0,51.0,51.0,51.0,9.56,50,2550.0,2550.0
11/20/2014,52.0,52.0,50.0,51.75,1.47,877,45384.0,45384.0
11/21/2014,53.0,53.0,53.0,53.0,2.42,50,2650.0,2650.0
11/24/2014,53.0,nan,nan,53.0,0.0,0,0.0,0.0
11/25/2014,54.0,54.0,54.0,54.0,1.89,50,2700.0,2700.0
11/26/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
11/27/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
11/28/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/01/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/02/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/04/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/05/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/09/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/10/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/11/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/12/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/15/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/16/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/17/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
12/18/2014,54.0,nan,nan,54.0,0.0,0,0.0,0.0
