Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,103.0,nan,nan,103.0,0.0,0,0.0,0.0
07/24/2014,103.0,nan,nan,103.0,0.0,0,0.0,0.0
07/25/2014,103.0,nan,nan,103.0,0.0,0,0.0,0.0
07/29/2014,80.0,80.0,80.0,80.0,-22.33,137,10960.0,10960.0
07/30/2014,74.0,74.0,74.0,74.0,-7.5,428,31672.0,31672.0
07/31/2014,74.0,nan,nan,74.0,0.0,0,0.0,0.0
08/01/2014,74.0,nan,nan,74.0,0.0,0,0.0,0.0
08/04/2014,80.0,80.0,80.0,80.0,8.11,85,6800.0,6800.0
08/05/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
08/06/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
08/07/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
08/08/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
08/11/2014,76.0,76.0,76.0,76.0,-5.0,400,30400.0,30400.0
08/12/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
08/13/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
08/14/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
08/15/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
08/18/2014,76.0,76.0,76.0,76.0,0.0,560,42560.0,42560.0
08/19/2014,75.0,75.0,75.0,75.0,-1.32,100,7500.0,7500.0
08/20/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
08/21/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
08/22/2014,77.0,77.0,77.0,77.0,2.67,300,23100.0,23100.0
08/25/2014,75.0,75.0,75.0,75.0,-2.6,168,12600.0,12600.0
08/26/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
08/27/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
08/29/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
09/01/2014,76.0,76.0,76.0,76.0,1.33,280,21280.0,21280.0
09/02/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
09/03/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
09/04/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
09/05/2014,76.0,nan,nan,76.0,0.0,0,0.0,0.0
09/09/2014,80.0,80.0,80.0,80.0,5.26,73,5840.0,5840.0
09/10/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
09/11/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
09/12/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
09/15/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
09/16/2014,80.0,nan,nan,80.0,0.0,0,0.0,0.0
09/17/2014,82.0,82.0,82.0,82.0,2.5,201,16482.0,16482.0
09/18/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/19/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/22/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/23/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/24/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/25/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/26/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/29/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
09/30/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
10/01/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
10/02/2014,90.0,90.0,90.0,90.0,9.76,654,58860.0,58860.0
10/03/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/06/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/07/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/08/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/09/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/10/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/13/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/14/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/15/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/16/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/17/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/20/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/21/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/22/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/24/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/27/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/28/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/29/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/30/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
10/31/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
11/03/2014,90.0,90.0,90.0,90.0,0.0,1022,91980.0,91980.0
11/04/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
11/05/2014,90.0,nan,nan,90.0,0.0,0,0.0,0.0
11/06/2014,98.0,98.0,98.0,98.0,8.89,679,66542.0,66542.0
11/07/2014,100.0,100.0,100.0,100.0,2.04,1096,109600.0,109600.0
11/10/2014,100.0,nan,nan,100.0,0.0,0,0.0,0.0
