Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,103.0,103.0,103.0,103.0,,,Hold,Hold,Hold,103.0,103.0,103.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,103.0,103.0,103.0,103.0,,,Hold,Hold,Hold,103.0,103.0,103.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,103.0,103.0,103.0,103.0,,,Hold,Hold,Hold,103.0,103.0,103.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,103.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,80.0,80.0,80.0,80.0,,,Hold,Hold,Hold,80.0,97.25,101.51612903225806,Hold,Sell,Sell,,,,Hold,Hold,Hold,80.0,,,Hold,Hold,Hold,80.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,74.0,74.0,74.0,74.0,,,Hold,Hold,Hold,74.0,91.4375,99.74089490114466,Hold,Sell,Sell,,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,74.0,74.0,74.0,74.0,,,Hold,Hold,Hold,74.0,87.078125,98.08019200429662,Hold,Sell,Sell,,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,74.0,74.0,74.0,74.0,87.28571428571429,,Hold,Sell,Hold,74.0,83.80859375,96.52663122982588,Hold,Sell,Sell,,,,Hold,Hold,Hold,74.0,81.07142857142857,,Hold,Sell,Hold,74.0,87.28571428571429,,Hold,Sell,Hold,,,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-65.75757575757578,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold
08/04/2014,80.0,80.0,80.0,80.0,84.0,,Hold,Sell,Hold,80.0,82.8564453125,95.46039695693389,Hold,Sell,Sell,,72.14285714285715,,Hold,Buy,Hold,80.0,79.25,,Hold,Buy,Hold,80.0,83.07366071428572,,Hold,Sell,Hold,100.0,27.035243778853726,,Sell,Hold,Hold,,20.689655172413794,,Hold,Hold,,Hold,,,-24.561403508771928,,Hold,Hold,Hold,100.0,-45.92951244229254,,Sell,Buy,Hold,,-79.3103448275862,,Hold,Hold,Hold
08/05/2014,80.0,80.0,80.0,80.0,80.71428571428571,,Hold,Sell,Hold,80.0,82.142333984375,94.46295199197041,Hold,Sell,Sell,,78.08333333333333,,Hold,Buy,Hold,80.0,78.25,,Hold,Buy,Hold,80.0,80.76841517857146,,Hold,Sell,Hold,,27.035243778853726,,Hold,Hold,Hold,,20.689655172413794,,Hold,Hold,,Hold,,,-7.478632478632421,,Hold,Hold,Hold,,-45.92951244229254,,Hold,Buy,Hold,,-79.3103448275862,,Hold,Hold,Hold
08/06/2014,80.0,80.0,80.0,80.0,77.42857142857143,,Hold,Buy,Hold,80.0,81.60675048828125,93.52985831506909,Hold,Sell,Sell,81.0909090909091,81.20238095238095,,Sell,Sell,Hold,80.0,78.07142857142857,,Hold,Buy,Hold,80.0,79.61579241071432,,Hold,Buy,Hold,,27.03524377885373,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,58.33333333333329,,Hold,Hold,Hold,,-45.929512442292555,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/07/2014,80.0,80.0,80.0,80.0,77.42857142857143,,Hold,Buy,Hold,80.0,81.20506286621094,92.65696423022592,Hold,Sell,Sell,79.23636363636365,81.5,,Buy,Sell,Hold,80.0,78.71428571428571,,Hold,Buy,Hold,80.0,79.13553292410717,,Hold,Buy,Hold,,27.035243778853726,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,58.33333333333329,,Hold,Hold,Hold,,-45.929512442292555,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/08/2014,80.0,80.0,80.0,80.0,78.28571428571429,,Hold,Buy,Hold,80.0,80.9037971496582,91.840385892792,Hold,Sell,Sell,78.21818181818182,80.85714285714285,,Buy,Sell,Hold,80.0,79.35714285714286,,Hold,Buy,Hold,80.0,79.02747453962056,,Hold,Buy,Hold,,27.035243778853722,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,46.66666666666655,,Hold,Hold,Hold,,-45.92951244229255,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/11/2014,76.0,76.0,76.0,76.0,78.57142857142857,,Hold,Sell,Hold,76.0,79.67784786224365,90.81842551261188,Hold,Sell,Sell,80.58181818181819,78.35714285714285,,Sell,Sell,Hold,76.0,78.78571428571429,,Hold,Sell,Hold,76.0,76.7960183279855,,Hold,Sell,Hold,0.0,19.455991701522876,,Buy,Buy,Hold,,33.333333333333336,,Hold,Hold,,Hold,,,-83.9999999999999,,Hold,Hold,Hold,-100.0,-61.08801659695424,,Buy,Buy,Hold,,-66.66666666666667,,Hold,Hold,Hold
08/12/2014,76.0,76.0,76.0,76.0,78.85714285714286,,Hold,Sell,Hold,76.0,78.75838589668274,89.86239806018531,Hold,Sell,Sell,79.92727272727274,75.86507936507938,,Sell,Buy,Hold,76.0,78.14285714285714,,Hold,Sell,Hold,76.0,75.69248090471541,,Hold,Buy,Hold,,19.455991701522873,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-116.66666666666696,,Hold,Buy,Hold,,-61.08801659695424,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/13/2014,76.0,76.0,76.0,76.0,78.28571428571429,,Hold,Sell,Hold,76.0,78.06878942251205,88.96804979823789,Hold,Sell,Sell,79.41818181818181,74.77777777777779,,Sell,Buy,Hold,76.0,77.42857142857143,,Hold,Sell,Hold,76.0,75.24201692853656,,Hold,Buy,Hold,,19.455991701522873,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-77.77777777777803,,Hold,Hold,Hold,,-61.08801659695425,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/14/2014,76.0,76.0,76.0,76.0,77.71428571428571,,Hold,Sell,Hold,76.0,77.55159206688404,88.13140142415803,Hold,Sell,Sell,78.83636363636364,74.95238095238095,,Sell,Buy,Hold,76.0,76.85714285714286,,Hold,Sell,Hold,76.0,75.14929679461886,,Hold,Buy,Hold,,19.455991701522876,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-58.33333333333316,,Hold,Hold,Hold,,-61.088016596954255,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/15/2014,76.0,76.0,76.0,76.0,77.14285714285714,,Hold,Sell,Hold,76.0,77.16369405016303,87.34873036453494,Hold,Sell,Sell,78.18181818181819,75.42857142857143,,Sell,Buy,Hold,76.0,76.42857142857143,,Hold,Sell,Hold,76.0,75.23527960266384,,Hold,Buy,Hold,,19.455991701522876,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-46.66666666666655,,Hold,Hold,Hold,,-61.08801659695424,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/18/2014,76.0,76.0,76.0,76.0,76.57142857142857,,Hold,Sell,Hold,76.0,76.87277053762227,86.61655421198431,Hold,Sell,Sell,77.45454545454547,75.76190476190476,,Sell,Buy,Hold,76.0,76.14285714285714,,Hold,Sell,Hold,76.0,75.39516665680065,,Hold,Buy,Hold,,19.455991701522876,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-38.888888888888815,,Hold,Hold,Hold,,-61.088016596954255,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/19/2014,75.0,75.0,75.0,75.0,75.85714285714286,,Hold,Sell,Hold,75.0,76.4045779032167,85.86709910153371,Hold,Sell,Sell,77.5090909090909,75.45238095238095,,Sell,Sell,Hold,75.0,75.75,,Hold,Sell,Hold,75.0,74.9925752335361,,Hold,Buy,Hold,0.0,16.533909871198464,,Buy,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-233.3333333333372,,Hold,Buy,Hold,-100.0,-66.9321802576031,,Buy,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/20/2014,75.0,75.0,75.0,75.0,75.71428571428571,,Hold,Sell,Hold,75.0,76.05343342741253,85.16599593369284,Hold,Sell,Sell,76.74545454545455,74.9484126984127,,Sell,Buy,Hold,75.0,75.53571428571429,,Hold,Sell,Hold,75.0,74.83758412447892,,Hold,Buy,Hold,,16.533909871198464,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-116.66666666666494,,Hold,Buy,Hold,,-66.93218025760308,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/21/2014,75.0,75.0,75.0,75.0,75.57142857142857,,Hold,Sell,Hold,75.0,75.7900750705594,84.51012522829332,Hold,Sell,Sell,76.16363636363636,74.69444444444444,,Sell,Buy,Hold,75.0,75.35714285714286,,Hold,Sell,Hold,75.0,74.81380450682316,,Hold,Buy,Hold,,16.533909871198464,,Hold,Buy,Hold,,0.0,,Hold,Hold,,Hold,,,-77.77777777777746,,Hold,Hold,Hold,,-66.93218025760306,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/22/2014,77.0,77.0,77.0,77.0,75.71428571428571,,Hold,Buy,Hold,77.0,76.09255630291955,84.02560102001634,Hold,Buy,Sell,74.4909090909091,75.73809523809524,,Buy,Buy,Hold,77.0,75.71428571428571,,Hold,Buy,Hold,77.0,76.00825460694199,,Hold,Buy,Hold,100.0,43.489065983330526,,Sell,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,140.00000000000045,,Hold,Sell,Hold,100.0,-13.021868033338954,,Sell,Buy,Hold,,0.0,,Hold,Sell,Hold
08/25/2014,75.0,75.0,75.0,75.0,75.57142857142857,,Hold,Sell,Hold,75.0,75.81941722718966,83.44330418001529,Hold,Sell,Sell,76.19999999999999,75.96031746031747,,Sell,Sell,Hold,75.0,75.53571428571429,,Hold,Sell,Hold,75.0,75.54550856286995,,Hold,Sell,Hold,0.0,31.587704672867154,,Buy,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-58.33333333333315,,Hold,Hold,Hold,-100.0,-36.82459065426569,,Buy,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/26/2014,75.0,75.0,75.0,75.0,75.42857142857143,,Hold,Sell,Hold,75.0,75.61456292039225,82.89857487807883,Hold,Sell,Sell,75.94545454545454,75.4484126984127,,Sell,Sell,Hold,75.0,75.39285714285714,,Hold,Sell,Hold,75.0,75.29116339355879,,Hold,Sell,Hold,,31.587704672867154,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-46.66666666666682,,Hold,Hold,Hold,,-36.82459065426569,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/27/2014,75.0,75.0,75.0,75.0,75.28571428571429,,Hold,Sell,Hold,75.0,75.46092219029418,82.38898940207376,Hold,Sell,Sell,75.72727272727272,74.90079365079364,,Sell,Buy,Hold,75.0,75.28571428571429,,Hold,Sell,Hold,75.0,75.15992934796787,,Hold,Sell,Hold,,31.587704672867154,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-38.88888888888937,,Hold,Hold,Hold,,-36.824590654265684,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/29/2014,75.0,75.0,75.0,75.0,75.28571428571429,,Hold,Sell,Hold,75.0,75.34569164272064,81.9122804083916,Hold,Sell,Sell,75.54545454545453,74.76190476190476,,Sell,Buy,Hold,75.0,75.21428571428571,,Hold,Sell,Hold,75.0,75.09863923125803,,Hold,Sell,Hold,,31.587704672867154,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-38.88888888888937,,Hold,Hold,Hold,,-36.82459065426569,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
09/01/2014,76.0,76.0,76.0,76.0,75.42857142857143,,Hold,Buy,Hold,76.0,75.50926873204048,81.53084296268892,Hold,Buy,Sell,74.76363636363635,75.33333333333333,,Buy,Buy,Hold,76.0,75.39285714285714,,Hold,Buy,Hold,76.0,75.65301705229238,,Hold,Buy,Hold,100.0,45.42287160938512,,Sell,Hold,Hold,,50.0,,Hold,Hold,,Hold,,,62.222222222221916,,Hold,Hold,Hold,100.0,-9.154256781229757,,Sell,Buy,Hold,,-50.0,,Hold,Hold,Hold
09/02/2014,76.0,76.0,76.0,76.0,75.57142857142857,,Hold,Buy,Hold,76.0,75.63195154903036,81.17401438445093,Hold,Buy,Sell,74.98181818181817,75.9563492063492,,Buy,Buy,Hold,76.0,75.53571428571429,,Hold,Buy,Hold,76.0,75.9640548585839,,Hold,Buy,Hold,,45.42287160938511,,Hold,Hold,Hold,,50.0,,Hold,Hold,,Hold,,,43.75000000000023,,Hold,Hold,Hold,,-9.154256781229758,,Hold,Buy,Hold,,-50.0,,Hold,Hold,Hold
09/03/2014,76.0,76.0,76.0,76.0,75.42857142857143,,Hold,Buy,Hold,76.0,75.72396366177277,80.84020700480895,Hold,Buy,Sell,75.19999999999999,76.28174603174602,,Buy,Sell,Hold,76.0,75.64285714285714,,Hold,Buy,Hold,76.0,76.12439558175737,,Hold,Sell,Hold,,45.42287160938512,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,77.77777777777746,,Hold,Hold,Hold,,-9.154256781229762,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
09/04/2014,76.0,76.0,76.0,76.0,75.57142857142857,79.1,Hold,Buy,Sell,76.0,75.79297274632958,80.52793558514387,Hold,Buy,Sell,75.38181818181818,76.26190476190476,,Buy,Sell,Hold,76.0,75.78571428571429,76.44301075268817,Hold,Buy,Sell,76.0,76.19416405402957,79.1,Hold,Sell,Sell,,45.42287160938512,,Hold,Hold,Hold,,100.0,6.896551724137931,Hold,Hold,,Hold,,,58.33333333333358,-40.20752269779502,Hold,Hold,Hold,,-9.154256781229765,,Hold,Buy,Hold,,0.0,-93.10344827586206,Hold,Sell,Buy
09/05/2014,76.0,76.0,76.0,76.0,75.71428571428571,78.2,Hold,Buy,Sell,76.0,75.84472955974718,80.23581070868298,Hold,Buy,Sell,75.52727272727273,76.14285714285715,,Buy,Sell,Hold,76.0,75.89285714285714,76.24301075268818,Hold,Buy,Sell,76.0,76.21178722081603,78.5378772112383,Hold,Sell,Sell,,45.42287160938512,24.09936754828586,Hold,Hold,Hold,,100.0,6.896551724137931,Hold,Hold,,Hold,,,46.66666666666737,-36.42384105960268,Hold,Hold,Hold,,-9.154256781229769,-51.80126490342829,Hold,Buy,Buy,,0.0,-93.10344827586206,Hold,Sell,Buy
