Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,3056.0,3056.0,3056.0,3056.0,,,Hold,Hold,Hold,3056.0,3056.0,3056.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3056.0,,,Hold,Hold,Hold,3056.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,3056.0,3056.0,3056.0,3056.0,,,Hold,Hold,Hold,3056.0,3056.0,3056.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3056.0,,,Hold,Hold,Hold,3056.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,3100.0,3100.0,3100.0,3100.0,,,Hold,Hold,Hold,3100.0,3067.0,3058.8387096774195,Hold,Buy,Buy,,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,3100.0,3100.0,3100.0,3100.0,,,Hold,Hold,Hold,3100.0,3075.25,3061.4942767950056,Hold,Buy,Buy,,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,3100.0,3100.0,3100.0,3100.0,,,Hold,Hold,Hold,3100.0,3081.4375,3063.9785170017794,Hold,Buy,Buy,,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,3100.0,3100.0,3100.0,3100.0,,,Hold,Hold,Hold,3100.0,3086.078125,3066.302483646826,Hold,Buy,Buy,,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,3100.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,3100.0,3100.0,3100.0,3100.0,3087.4285714285716,,Hold,Buy,Hold,3100.0,3089.55859375,3068.4765169599345,Hold,Buy,Buy,,,,Hold,Hold,Hold,3100.0,3095.285714285714,,Hold,Buy,Hold,3100.0,3087.4285714285716,,Hold,Buy,Hold,,,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,46.66666666666633,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,0.0,,Hold,Sell,Hold
08/04/2014,3100.0,3100.0,3100.0,3100.0,3093.714285714286,,Hold,Buy,Hold,3100.0,3092.1689453125,3070.5102900592938,Hold,Buy,Buy,,3102.6190476190477,,Hold,Sell,Hold,3100.0,3098.4285714285716,,Hold,Buy,Hold,3100.0,3094.6964285714294,,Hold,Buy,Hold,,100.0,,Hold,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,38.88888888888866,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
08/05/2014,3100.0,3100.0,3100.0,3100.0,3100.0,,Hold,Hold,Hold,3100.0,3094.126708984375,3072.4128519909523,Hold,Buy,Buy,,3100.523809523809,,Hold,Sell,Hold,3100.0,3100.0,,Hold,Hold,Hold,3100.0,3098.6741071428582,,Hold,Buy,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,Hold
08/06/2014,3100.0,3100.0,3100.0,3100.0,3100.0,,Hold,Hold,Hold,3100.0,3095.5950317382812,3074.1926679915364,Hold,Buy,Buy,3095.2,3100.0,,Buy,Hold,Hold,3100.0,3100.0,,Hold,Hold,Hold,3100.0,3100.662946428571,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,,,Hold,Hold,Hold
