Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,7400.0,7400.0,7400.0,7400.0,,,Hold,Hold,Hold,7400.0,7400.0,7400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,7400.0,7400.0,7400.0,7400.0,,,Hold,Hold,Hold,7400.0,7400.0,7400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,7400.0,7400.0,7400.0,7400.0,,,Hold,Hold,Hold,7400.0,7400.0,7400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,7400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,7622.0,7622.0,7622.0,7622.0,,,Hold,Hold,Hold,7622.0,7455.5,7414.322580645162,Hold,Buy,Buy,,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,7622.0,7622.0,7622.0,7622.0,,,Hold,Hold,Hold,7622.0,7497.125,7427.721123829346,Hold,Buy,Buy,,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,7622.0,7622.0,7622.0,7622.0,,,Hold,Hold,Hold,7622.0,7528.34375,7440.255244872615,Hold,Buy,Buy,,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,7622.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,7622.0,7622.0,7600.0,7622.0,7526.857142857143,,Hold,Buy,Hold,7622.0,7551.7578125,7451.98071294535,Hold,Buy,Buy,,,,Hold,Hold,Hold,7622.0,7574.428571428572,,Hold,Buy,Hold,7622.0,7526.857142857143,,Hold,Buy,Hold,,,,Hold,Hold,Hold,100.0,100.0,,Hold,Hold,,Hold,,,54.933131466061205,,Hold,Hold,Hold,,,,Hold,Hold,Hold,0.0,0.0,,Sell,Sell,Hold
08/04/2014,7600.0,7600.0,7600.0,7600.0,7555.428571428572,,Hold,Buy,Hold,7600.0,7563.818359375,7461.5303443682305,Hold,Buy,Buy,,7642.714285714286,,Hold,Sell,Hold,7600.0,7592.714285714285,,Hold,Buy,Hold,7600.0,7569.142857142859,,Hold,Buy,Hold,0.0,84.48847985810522,,Buy,Sell,Hold,,90.09009009009009,,Hold,Hold,,Hold,,,34.47460415381455,,Hold,Hold,Hold,-100.0,68.97695971621043,,Buy,Sell,Hold,,-9.909909909909908,,Hold,Sell,Hold
08/05/2014,7600.0,7600.0,7600.0,7600.0,7584.0,,Hold,Buy,Hold,7600.0,7572.86376953125,7470.463870538022,Hold,Buy,Buy,,7612.079365079365,,Hold,Sell,Hold,7600.0,7603.857142857143,,Hold,Sell,Hold,7600.0,7592.2857142857165,,Hold,Buy,Hold,,84.48847985810521,,Hold,Sell,Hold,,90.09009009009009,,Hold,Hold,Sell,Hold,,,21.742148186708505,,Hold,Hold,Hold,,68.97695971621042,,Hold,Sell,Hold,,-9.909909909909908,,Hold,Sell,Hold
08/06/2014,7600.0,7600.0,7600.0,7600.0,7612.571428571428,,Hold,Sell,Hold,7600.0,7579.6478271484375,7478.82104018073,Hold,Buy,Buy,7573.963636363636,7595.920634920635,,Buy,Buy,Hold,7600.0,7607.857142857143,,Hold,Sell,Hold,7600.0,7603.857142857142,,Hold,Sell,Hold,,84.48847985810521,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-77.77777777777574,,Hold,Hold,Hold,,68.97695971621042,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/07/2014,7600.0,7600.0,7600.0,7600.0,7609.428571428572,,Hold,Sell,Hold,7600.0,7584.735870361328,7486.639037588425,Hold,Buy,Buy,7592.581818181818,7594.238095238095,,Buy,Buy,Hold,7600.0,7604.714285714285,,Hold,Sell,Hold,7600.0,7608.678571428571,,Hold,Sell,Hold,,84.48847985810521,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-58.33333333333175,,Hold,Hold,Hold,,68.97695971621043,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/08/2014,7600.0,7600.0,7600.0,7600.0,7606.285714285715,,Hold,Sell,Hold,7600.0,7588.551902770996,7493.952648066591,Hold,Buy,Buy,7603.927272727273,7596.857142857142,,Sell,Buy,Hold,7600.0,7602.357142857143,,Hold,Sell,Hold,7600.0,7609.7633928571395,,Hold,Sell,Hold,,84.48847985810522,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-46.666666666656944,,Hold,Hold,Hold,,68.97695971621044,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/11/2014,7600.0,7600.0,7600.0,7600.0,7603.142857142857,,Hold,Sell,Hold,7600.0,7591.413927078247,7500.794412707456,Hold,Buy,Buy,7608.0,7598.690476190476,,Sell,Buy,Hold,7600.0,7600.785714285715,,Hold,Sell,Hold,7600.0,7608.949776785711,,Hold,Sell,Hold,,84.48847985810521,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-38.88888888887623,,Hold,Hold,Hold,,68.97695971621043,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/12/2014,7600.0,7600.0,7600.0,7600.0,7600.0,,Hold,Hold,Hold,7600.0,7593.560445308685,7507.194773177943,Hold,Buy,Buy,7604.799999999999,7599.738095238095,,Sell,Buy,Hold,7600.0,7600.0,,Hold,Hold,Hold,7600.0,7607.322544642852,,Hold,Sell,Hold,,84.48847985810522,,Hold,Sell,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,68.97695971621044,,Hold,Sell,Hold,,,,Hold,Hold,Hold
08/13/2014,7600.0,7600.0,7600.0,7600.0,7600.0,,Hold,Hold,Hold,7600.0,7595.170333981514,7513.182207166463,Hold,Buy,Buy,7602.4,7600.0,,Sell,Hold,Hold,7600.0,7600.0,,Hold,Hold,Hold,7600.0,7605.491908482141,,Hold,Sell,Hold,,84.48847985810521,,Hold,Sell,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,68.97695971621042,,Hold,Sell,Hold,,,,Hold,Hold,Hold
08/14/2014,7800.0,7800.0,7800.0,7800.0,7628.571428571428,,Hold,Buy,Hold,7800.0,7646.3777504861355,7531.686580897659,Hold,Buy,Buy,7473.527272727273,7700.0,,Buy,Buy,Hold,7800.0,7650.0,,Hold,Buy,Hold,7800.0,7719.400687081471,,Hold,Buy,Hold,100.0,97.34387029752372,,Sell,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,233.33333333333397,,Hold,Sell,Hold,100.0,94.68774059504744,,Sell,Sell,Hold,,0.0,,Hold,Sell,Hold
08/15/2014,7800.0,7800.0,7800.0,7800.0,7657.142857142857,,Hold,Buy,Hold,7800.0,7684.783312864602,7548.997124065552,Hold,Buy,Buy,7538.181818181818,7810.31746031746,,Buy,Sell,Hold,7800.0,7692.857142857143,,Hold,Buy,Hold,7800.0,7781.223148890905,,Hold,Buy,Hold,,97.34387029752374,,Hold,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,116.66666666666704,,Hold,Sell,Hold,,94.68774059504744,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
