Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
07/24/2014,196.0,200.0,196.0,198.96,-0.52,270,53720.0,53720.0
07/25/2014,200.0,200.0,200.0,200.0,0.52,250,50000.0,50000.0
07/29/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
07/30/2014,200.0,200.0,200.0,200.0,0.0,500,100000.0,100000.0
07/31/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/01/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/04/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/05/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/06/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/07/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/08/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/11/2014,200.0,nan,nan,200.0,0.0,0,0.0,0.0
08/12/2014,210.0,210.0,210.0,210.0,5.0,150,31500.0,31500.0
08/13/2014,210.0,nan,nan,210.0,0.0,0,0.0,0.0
08/14/2014,210.0,210.0,210.0,210.0,0.0,100,21000.0,21000.0
08/15/2014,210.0,nan,nan,210.0,0.0,0,0.0,0.0
08/18/2014,210.0,nan,nan,210.0,0.0,0,0.0,0.0
08/19/2014,210.0,210.0,210.0,210.0,0.0,530,111300.0,111300.0
08/20/2014,210.0,nan,nan,210.0,0.0,0,0.0,0.0
08/21/2014,210.0,nan,nan,210.0,0.0,0,0.0,0.0
08/22/2014,231.0,231.0,231.0,231.0,10.0,300,69300.0,69300.0
08/25/2014,231.0,nan,nan,231.0,0.0,0,0.0,0.0
08/26/2014,254.0,254.0,254.0,254.0,9.96,1058,268732.0,268732.0
08/27/2014,250.0,278.0,250.0,255.12,0.44,2051,523250.0,523250.0
08/29/2014,250.0,250.0,250.0,250.0,-2.01,25,6250.0,6250.0
09/01/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/02/2014,250.0,250.0,250.0,250.0,0.0,200,50000.0,50000.0
09/03/2014,250.0,250.0,250.0,250.0,0.0,187,46750.0,46750.0
09/04/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/05/2014,250.0,250.0,250.0,250.0,0.0,800,200000.0,200000.0
09/09/2014,250.0,250.0,250.0,250.0,0.0,730,182500.0,182500.0
09/10/2014,250.0,250.0,250.0,250.0,0.0,157,392500.0,392500.0
09/11/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/12/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/15/2014,275.0,275.0,275.0,275.0,10.0,200,55000.0,55000.0
09/16/2014,275.0,nan,nan,275.0,0.0,0,0.0,0.0
09/17/2014,275.0,nan,nan,275.0,0.0,0,0.0,0.0
09/18/2014,274.0,274.0,270.0,270.25,-1.73,128,34592.0,34592.0
09/19/2014,275.0,275.0,274.0,274.48,1.57,370,101558.0,101558.0
09/22/2014,275.0,nan,nan,274.48,0.0,0,0.0,0.0
09/23/2014,275.0,nan,nan,274.48,0.0,0,0.0,0.0
09/24/2014,260.0,260.0,260.0,260.0,-5.28,50,13000.0,13000.0
09/25/2014,260.0,nan,nan,260.0,0.0,0,0.0,0.0
09/26/2014,260.0,nan,nan,260.0,0.0,0,0.0,0.0
09/29/2014,260.0,nan,nan,260.0,0.0,0,0.0,0.0
09/30/2014,260.0,270.0,260.0,262.24,0.86,1263,331210.0,331210.0
10/01/2014,260.0,nan,nan,262.24,0.0,0,0.0,0.0
10/02/2014,251.0,251.0,251.0,251.0,-4.29,600,150600.0,150600.0
10/03/2014,255.0,255.0,255.0,255.0,1.59,360,91800.0,91800.0
10/06/2014,255.0,nan,nan,255.0,0.0,0,0.0,0.0
10/07/2014,255.0,nan,nan,255.0,0.0,0,0.0,0.0
10/08/2014,255.0,nan,nan,255.0,0.0,0,0.0,0.0
10/09/2014,255.0,nan,nan,255.0,0.0,0,0.0,0.0
10/10/2014,256.0,256.0,256.0,256.0,0.39,128,32768.0,32768.0
10/13/2014,263.0,263.0,263.0,263.0,2.73,200,52600.0,52600.0
10/14/2014,263.0,nan,nan,263.0,0.0,0,0.0,0.0
10/15/2014,270.0,270.0,270.0,270.0,2.66,102,27540.0,27540.0
10/16/2014,270.0,270.0,270.0,270.0,0.0,110,29700.0,29700.0
10/17/2014,270.0,270.0,270.0,270.0,0.0,100,27000.0,27000.0
10/20/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
10/21/2014,278.0,278.0,278.0,278.0,2.96,90,25020.0,25020.0
10/22/2014,280.0,280.0,280.0,280.0,0.72,508,142240.0,142240.0
10/24/2014,285.0,285.0,284.0,284.82,1.72,850,242100.0,242100.0
10/27/2014,285.0,285.0,285.0,285.0,0.06,1,285000.0,285000.0
10/28/2014,285.0,nan,nan,285.0,0.0,0,0.0,0.0
10/29/2014,285.0,nan,nan,285.0,0.0,0,0.0,0.0
10/30/2014,285.0,nan,nan,285.0,0.0,0,0.0,0.0
10/31/2014,313.0,313.0,285.0,297.68,4.45,1025,305125.0,305125.0
11/03/2014,327.0,327.0,327.0,327.0,9.85,395,129165.0,129165.0
11/04/2014,336.0,336.0,336.0,336.0,2.75,118,396480.0,396480.0
11/05/2014,369.0,369.0,340.0,363.6,8.21,2363,859185.0,859185.0
11/06/2014,399.0,399.0,399.0,399.0,9.74,7708,3075492.0,3075492.0
11/07/2014,410.0,410.0,410.0,410.0,2.76,100,41000.0,41000.0
11/10/2014,379.0,409.0,379.0,384.13,-6.31,849,326126.0,326126.0
11/11/2014,409.0,409.0,381.0,390.21,1.58,5398,2106346.0,2106346.0
11/12/2014,415.0,416.0,415.0,415.07,6.37,2687,1115305.0,1115305.0
11/13/2014,415.0,415.0,410.0,414.44,-0.15,901,373410.0,373410.0
11/14/2014,415.0,nan,nan,414.44,0.0,0,0.0,0.0
11/17/2014,375.0,400.0,375.0,383.21,-7.54,329,126075.0,126075.0
11/18/2014,399.0,399.0,388.0,389.65,1.68,40,15586.0,15586.0
11/19/2014,378.0,378.0,378.0,378.0,-2.99,200,75600.0,75600.0
11/20/2014,378.0,nan,nan,378.0,0.0,0,0.0,0.0
11/21/2014,378.0,nan,nan,378.0,0.0,0,0.0,0.0
11/24/2014,341.0,341.0,341.0,341.0,-9.79,1791,610731.0,610731.0
11/25/2014,340.0,340.0,335.0,337.53,-1.02,790,266650.0,266650.0
11/26/2014,340.0,nan,nan,337.53,0.0,0,0.0,0.0
11/27/2014,340.0,nan,nan,337.53,0.0,0,0.0,0.0
11/28/2014,369.0,371.0,369.0,370.18,9.67,170,62930.0,62930.0
12/01/2014,360.0,360.0,360.0,360.0,-2.75,312,112320.0,112320.0
12/02/2014,350.0,350.0,350.0,350.0,-2.78,732,256200.0,256200.0
12/04/2014,345.0,345.0,345.0,345.0,-1.43,1555,536475.0,536475.0
12/05/2014,350.0,350.0,345.0,347.25,0.65,1888,655600.0,655600.0
12/09/2014,359.0,359.0,359.0,359.0,3.38,30,10770.0,10770.0
12/10/2014,350.0,350.0,350.0,350.0,-2.51,282,98700.0,98700.0
12/11/2014,360.0,360.0,360.0,360.0,2.86,170,61200.0,61200.0
12/12/2014,375.0,375.0,360.0,361.27,0.35,415,149925.0,149925.0
12/15/2014,372.0,372.0,351.0,351.96,-2.58,524,184428.0,184428.0
12/16/2014,360.0,360.0,360.0,360.0,2.28,200,72000.0,72000.0
12/17/2014,370.0,370.0,370.0,370.0,2.78,50,18500.0,18500.0
12/18/2014,361.0,370.0,361.0,366.38,-0.98,271,99289.0,99289.0
12/19/2014,361.0,nan,nan,366.38,0.0,0,0.0,0.0
12/22/2014,372.0,372.0,370.0,370.24,1.05,286,105888.0,105888.0
12/23/2014,370.0,370.0,370.0,370.0,-0.06,866,320420.0,320420.0
12/24/2014,370.0,370.0,370.0,370.0,0.0,49,18130.0,18130.0
12/25/2014,370.0,370.0,370.0,370.0,0.0,178,65860.0,65860.0
