Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,200.0,200.0,200.0,200.0,,,Hold,Hold,Hold,200.0,200.0,200.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,196.0,200.0,196.0,196.0,,,Hold,Hold,Hold,196.0,199.0,199.741935483871,Hold,Sell,Sell,,,,Hold,Hold,Hold,196.0,,,Hold,Hold,Hold,196.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,0.0,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,-100.0,,,Buy,Hold,Hold
07/25/2014,200.0,200.0,200.0,200.0,,,Hold,Hold,Hold,200.0,199.25,199.75858480749224,Hold,Buy,Buy,,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,200.0,200.0,200.0,200.0,,,Hold,Hold,Hold,200.0,199.4375,199.77415998120244,Hold,Buy,Buy,,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,200.0,200.0,200.0,200.0,,,Hold,Hold,Hold,200.0,199.578125,199.78873030499585,Hold,Buy,Buy,,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,200.0,200.0,200.0,200.0,,,Hold,Hold,Hold,200.0,199.68359375,199.80236060789935,Hold,Buy,Buy,,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,200.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,200.0,200.0,200.0,200.0,199.42857142857142,,Hold,Buy,Hold,200.0,199.7626953125,199.815111536422,Hold,Buy,Buy,,,,Hold,Hold,Hold,200.0,199.71428571428572,,Hold,Buy,Hold,200.0,199.42857142857142,,Hold,Buy,Hold,,,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,38.888888888890094,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,0.0,,Hold,Sell,Hold
08/04/2014,200.0,200.0,200.0,200.0,199.42857142857142,,Hold,Buy,Hold,200.0,199.822021484375,199.82703982439477,Hold,Buy,Buy,,200.19047619047618,,Hold,Sell,Hold,200.0,199.85714285714286,,Hold,Buy,Hold,200.0,199.75892857142856,,Hold,Buy,Hold,,53.84615384615384,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,38.888888888890094,,Hold,Hold,Hold,,7.692307692307676,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
08/05/2014,200.0,200.0,200.0,200.0,200.0,,Hold,Hold,Hold,200.0,199.86651611328125,199.83819854540158,Hold,Buy,Buy,,200.04761904761904,,Hold,Sell,Hold,200.0,200.0,,Hold,Hold,Hold,200.0,199.93973214285708,,Hold,Buy,Hold,,53.84615384615383,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,7.692307692307664,,Hold,Sell,Hold,,,,Hold,Hold,Hold
08/06/2014,200.0,200.0,200.0,200.0,200.0,,Hold,Hold,Hold,200.0,199.89988708496094,199.8486373489241,Hold,Buy,Buy,199.7090909090909,200.0,,Buy,Hold,Hold,200.0,200.0,,Hold,Hold,Hold,200.0,200.03013392857136,,Hold,Sell,Hold,,53.846153846153825,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,7.692307692307655,,Hold,Sell,Hold,,,,Hold,Hold,Hold
