Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,270.0,270.0,270.0,270.0,-1.1,98,26460.0,26460.0
07/24/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
07/25/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
07/29/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
07/30/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
07/31/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
08/01/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
08/04/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
08/05/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
08/06/2014,270.0,nan,nan,270.0,0.0,0,0.0,0.0
08/07/2014,250.0,250.0,250.0,250.0,-7.41,8,2000.0,2000.0
08/08/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/11/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/12/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/13/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/14/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/15/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/18/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/19/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/20/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/21/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/22/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/25/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/26/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/27/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
08/29/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/01/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/02/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/03/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/04/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/05/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/09/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/10/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/11/2014,250.0,nan,nan,250.0,0.0,0,0.0,0.0
09/12/2014,300.0,300.0,300.0,300.0,20.0,230,69000.0,69000.0
09/15/2014,300.0,300.0,300.0,300.0,0.0,270,81000.0,81000.0
09/16/2014,300.0,nan,nan,300.0,0.0,0,0.0,0.0
09/17/2014,291.0,291.0,291.0,291.0,-3.0,6,1746.0,1746.0
09/18/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/19/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/22/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/23/2014,291.0,291.0,291.0,291.0,0.0,94,27354.0,27354.0
09/24/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/25/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/26/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/29/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
09/30/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/01/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/02/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/03/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/06/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/07/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/08/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/09/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/10/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/13/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/14/2014,291.0,nan,nan,291.0,0.0,0,0.0,0.0
10/15/2014,285.0,285.0,285.0,285.0,-2.06,46,13110.0,13110.0
10/16/2014,350.0,350.0,350.0,350.0,22.81,341,119350.0,119350.0
10/17/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/20/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/21/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/22/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/24/2014,350.0,350.0,350.0,350.0,0.0,18,6300.0,6300.0
10/27/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/28/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/29/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/30/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
10/31/2014,350.0,350.0,350.0,350.0,0.0,22,7700.0,7700.0
11/03/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
11/04/2014,350.0,350.0,350.0,350.0,0.0,250,87500.0,87500.0
11/05/2014,350.0,nan,nan,350.0,0.0,0,0.0,0.0
11/06/2014,440.0,440.0,440.0,440.0,25.71,367,161480.0,161480.0
11/07/2014,450.0,450.0,450.0,450.0,2.27,190,85500.0,85500.0
11/10/2014,450.0,450.0,450.0,450.0,0.0,100,45000.0,45000.0
11/11/2014,450.0,nan,nan,450.0,0.0,0,0.0,0.0
11/12/2014,441.0,441.0,441.0,441.0,-2.0,310,136710.0,136710.0
11/13/2014,440.0,440.0,440.0,440.0,-0.23,423,186120.0,186120.0
