Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,73.0,73.0,73.0,73.0,1.81,271,19783.0,19783.0
07/24/2014,75.0,75.0,75.0,75.0,2.74,487,36525.0,36525.0
07/25/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
07/29/2014,75.0,nan,nan,75.0,0.0,0,0.0,0.0
07/30/2014,74.0,74.0,74.0,74.0,-1.33,200,14800.0,14800.0
07/31/2014,74.0,74.0,74.0,74.0,0.0,150,11100.0,11100.0
08/01/2014,73.0,73.0,73.0,73.0,-1.35,377,27521.0,27521.0
08/04/2014,73.0,nan,nan,73.0,0.0,0,0.0,0.0
08/05/2014,73.0,73.0,73.0,73.0,0.0,300,21900.0,21900.0
08/06/2014,73.0,nan,nan,73.0,0.0,0,0.0,0.0
08/07/2014,73.0,nan,nan,73.0,0.0,0,0.0,0.0
08/08/2014,73.0,73.0,73.0,73.0,0.0,300,21900.0,21900.0
08/11/2014,73.0,73.0,73.0,73.0,0.0,369,26937.0,26937.0
08/12/2014,73.0,nan,nan,73.0,0.0,0,0.0,0.0
08/13/2014,72.0,72.0,72.0,72.0,-1.37,200,14400.0,14400.0
08/14/2014,72.0,72.0,72.0,72.0,0.0,305,21960.0,21960.0
08/15/2014,72.0,nan,nan,72.0,0.0,0,0.0,0.0
08/18/2014,72.0,72.0,72.0,72.0,0.0,190,13680.0,13680.0
08/19/2014,72.0,72.0,72.0,72.0,0.0,805,57960.0,57960.0
08/20/2014,72.0,72.0,72.0,72.0,0.0,143,102960.0,102960.0
08/21/2014,72.0,nan,nan,72.0,0.0,0,0.0,0.0
08/22/2014,71.0,71.0,71.0,71.0,-1.39,74,5254.0,5254.0
08/25/2014,72.0,72.0,72.0,72.0,1.41,384,27648.0,27648.0
08/26/2014,72.0,nan,nan,72.0,0.0,0,0.0,0.0
08/27/2014,72.0,nan,nan,72.0,0.0,0,0.0,0.0
08/29/2014,72.0,nan,nan,72.0,0.0,0,0.0,0.0
09/01/2014,72.0,74.0,72.0,73.06,1.47,568,41496.0,41496.0
09/02/2014,79.0,79.0,75.0,78.36,7.25,3492,273626.0,273626.0
09/03/2014,79.0,nan,nan,78.36,0.0,0,0.0,0.0
09/04/2014,79.0,nan,nan,78.36,0.0,0,0.0,0.0
09/05/2014,79.0,nan,nan,78.36,0.0,0,0.0,0.0
09/09/2014,78.0,79.0,77.0,78.23,-0.17,2226,174143.0,174143.0
09/10/2014,78.0,nan,nan,78.23,0.0,0,0.0,0.0
09/11/2014,79.0,79.0,79.0,79.0,0.98,300,23700.0,23700.0
09/12/2014,79.0,nan,nan,79.0,0.0,0,0.0,0.0
09/15/2014,79.0,nan,nan,79.0,0.0,0,0.0,0.0
09/16/2014,79.0,nan,nan,79.0,0.0,0,0.0,0.0
09/17/2014,78.0,78.0,78.0,78.0,-1.27,960,74880.0,74880.0
09/18/2014,74.0,74.0,74.0,74.0,-5.13,325,24050.0,24050.0
09/19/2014,74.0,nan,nan,74.0,0.0,0,0.0,0.0
09/22/2014,74.0,nan,nan,74.0,0.0,0,0.0,0.0
09/23/2014,76.0,76.0,76.0,76.0,2.7,400,30400.0,30400.0
09/24/2014,77.0,77.0,77.0,77.0,1.32,390,30030.0,30030.0
09/25/2014,78.0,78.0,78.0,78.0,1.3,13,101400.0,101400.0
09/26/2014,80.0,80.0,80.0,80.0,2.56,585,46800.0,46800.0
09/29/2014,82.0,82.0,82.0,82.0,2.5,250,20500.0,20500.0
09/30/2014,82.0,nan,nan,82.0,0.0,0,0.0,0.0
