Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,73.0,73.0,73.0,73.0,,,Hold,Hold,Hold,73.0,73.0,73.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,73.0,,,Hold,Hold,Hold,73.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,75.0,75.0,75.0,75.0,,,Hold,Hold,Hold,75.0,73.5,73.12903225806453,Hold,Buy,Buy,,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,75.0,75.0,75.0,75.0,,,Hold,Hold,Hold,75.0,73.875,73.24973985431843,Hold,Buy,Buy,,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,75.0,75.0,75.0,75.0,,,Hold,Hold,Hold,75.0,74.15625,73.36265986371725,Hold,Buy,Buy,,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,75.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,74.0,74.0,74.0,74.0,,,Hold,Hold,Hold,74.0,74.1171875,73.40377858218712,Hold,Sell,Buy,,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,74.0,74.0,74.0,74.0,,,Hold,Hold,Hold,74.0,74.087890625,73.44224448011053,Hold,Sell,Buy,,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,74.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,73.0,73.0,73.0,73.0,74.14285714285714,,Hold,Sell,Hold,73.0,73.81591796875,73.41371257816792,Hold,Sell,Sell,,,,Hold,Hold,Hold,73.0,74.03571428571429,,Hold,Sell,Hold,73.0,74.14285714285714,,Hold,Sell,Hold,0.0,,,Buy,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-103.70370370370343,,Hold,Buy,Hold,-100.0,,,Buy,Hold,Hold,,-100.0,,Hold,Buy,Hold
08/04/2014,73.0,73.0,73.0,73.0,74.14285714285714,,Hold,Sell,Hold,73.0,73.6119384765625,73.38702144409257,Hold,Sell,Sell,,72.71031746031747,,Hold,Buy,Hold,73.0,73.75,,Hold,Sell,Hold,73.0,73.48214285714288,,Hold,Sell,Hold,,34.786498758583676,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-103.70370370370343,,Hold,Buy,Hold,,-30.42700248283265,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/05/2014,73.0,73.0,73.0,73.0,73.85714285714286,,Hold,Sell,Hold,73.0,73.45895385742188,73.36205231866724,Hold,Sell,Sell,,72.5515873015873,,Hold,Buy,Hold,73.0,73.46428571428571,,Hold,Sell,Hold,73.0,73.12053571428568,,Hold,Sell,Hold,,34.786498758583676,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-77.77777777777821,,Hold,Hold,Hold,,-30.42700248283264,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/06/2014,73.0,73.0,73.0,73.0,73.57142857142857,,Hold,Sell,Hold,73.0,73.3442153930664,73.33869410455968,Hold,Sell,Sell,74.05454545454546,72.67857142857143,,Sell,Buy,Hold,73.0,73.25,,Hold,Sell,Hold,73.0,72.93973214285715,,Hold,Buy,Hold,,34.78649875858368,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-58.33333333333315,,Hold,Hold,Hold,,-30.427002482832638,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
