Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,285.0,285.0,285.0,285.0,3.1,300,85500.0,85500.0
07/24/2014,285.0,285.0,285.0,285.0,0.0,755,215175.0,215175.0
07/25/2014,285.0,285.0,285.0,285.0,0.0,448,1276800.0,1276800.0
07/29/2014,285.0,nan,nan,285.0,0.0,0,0.0,0.0
07/30/2014,285.0,285.0,285.0,285.0,0.0,146,41610.0,41610.0
07/31/2014,280.0,280.0,280.0,280.0,-1.75,292,81760.0,81760.0
08/01/2014,285.0,285.0,280.0,282.79,1.0,1358,384030.0,384030.0
08/04/2014,285.0,nan,nan,282.79,0.0,0,0.0,0.0
08/05/2014,275.0,275.0,275.0,275.0,-2.75,50,13750.0,13750.0
08/06/2014,275.0,nan,nan,275.0,0.0,0,0.0,0.0
08/07/2014,275.0,276.0,275.0,275.34,0.12,1471,405025.0,405025.0
08/08/2014,272.0,275.0,271.0,273.06,-0.83,14,382280.0,382280.0
08/11/2014,272.0,nan,nan,273.06,0.0,0,0.0,0.0
08/12/2014,272.0,nan,nan,273.06,0.0,0,0.0,0.0
08/13/2014,275.0,275.0,275.0,275.0,0.71,480,132000.0,132000.0
08/14/2014,280.0,280.0,280.0,280.0,1.82,5,1400.0,1400.0
08/15/2014,280.0,nan,nan,280.0,0.0,0,0.0,0.0
08/18/2014,273.0,273.0,273.0,273.0,-2.5,100,27300.0,27300.0
08/19/2014,273.0,nan,nan,273.0,0.0,0,0.0,0.0
08/20/2014,275.0,275.0,274.0,274.48,0.54,1046,287104.0,287104.0
08/21/2014,275.0,nan,nan,274.48,0.0,0,0.0,0.0
08/22/2014,275.0,nan,nan,274.48,0.0,0,0.0,0.0
08/25/2014,280.0,280.0,280.0,280.0,2.01,400,112000.0,112000.0
08/26/2014,280.0,280.0,280.0,280.0,0.0,566,158480.0,158480.0
08/27/2014,280.0,280.0,280.0,280.0,0.0,2487,696360.0,696360.0
08/29/2014,280.0,280.0,280.0,280.0,0.0,1642,459760.0,459760.0
09/01/2014,280.0,nan,nan,280.0,0.0,0,0.0,0.0
09/02/2014,279.0,280.0,279.0,279.02,-0.35,1595,4450350.0,4450350.0
09/03/2014,280.0,280.0,279.0,279.87,0.3,1431,400488.0,400488.0
09/04/2014,280.0,280.0,280.0,280.0,0.05,159,44520.0,44520.0
09/05/2014,279.0,279.0,279.0,279.0,-0.36,62,1729800.0,1729800.0
09/09/2014,271.0,275.0,271.0,274.92,-1.46,21566,5928887.0,5928887.0
09/10/2014,275.0,275.0,275.0,275.0,0.03,35604,9791100.0,9791100.0
09/11/2014,275.0,276.0,275.0,275.11,0.04,26169,7199460.0,7199460.0
09/12/2014,275.0,275.0,275.0,275.0,-0.04,807,221925.0,221925.0
09/15/2014,280.0,280.0,275.0,279.47,1.63,950,265500.0,265500.0
09/16/2014,280.0,nan,nan,279.47,0.0,0,0.0,0.0
09/17/2014,280.0,280.0,280.0,280.0,0.19,50,14000.0,14000.0
09/18/2014,281.0,287.0,281.0,286.15,2.2,354,101298.0,101298.0
09/19/2014,284.0,287.0,284.0,285.41,-0.26,255,72780.0,72780.0
09/22/2014,281.0,281.0,281.0,281.0,-1.55,30,8430.0,8430.0
09/23/2014,281.0,281.0,281.0,281.0,0.0,50,14050.0,14050.0
09/24/2014,282.0,282.0,281.0,281.52,0.19,851,239574.0,239574.0
09/25/2014,282.0,nan,nan,281.52,0.0,0,0.0,0.0
09/26/2014,280.0,282.0,280.0,281.79,0.1,984,277280.0,277280.0
09/29/2014,280.0,280.0,280.0,280.0,-0.64,29,8120.0,8120.0
09/30/2014,283.0,284.0,281.0,283.8,1.36,175,496650.0,496650.0
10/01/2014,283.0,283.0,283.0,283.0,-0.28,65,18395.0,18395.0
10/02/2014,285.0,286.0,285.0,285.09,0.74,1391,396555.0,396555.0
10/03/2014,281.0,282.0,281.0,281.66,-1.2,455,128155.0,128155.0
10/06/2014,285.0,285.0,285.0,285.0,1.19,119,33915.0,33915.0
10/07/2014,282.0,282.0,282.0,282.0,-1.05,181,51042.0,51042.0
10/08/2014,282.0,nan,nan,282.0,0.0,0,0.0,0.0
10/09/2014,286.0,286.0,286.0,286.0,1.42,100,28600.0,28600.0
10/10/2014,286.0,nan,nan,286.0,0.0,0,0.0,0.0
10/13/2014,300.0,300.0,290.0,295.87,3.45,233,689377.0,689377.0
10/14/2014,304.0,304.0,300.0,301.85,2.02,202,609740.0,609740.0
10/15/2014,310.0,310.0,304.0,304.32,0.82,957,291235.0,291235.0
10/16/2014,320.0,320.0,309.0,313.57,3.04,2762,866070.0,866070.0
10/17/2014,315.0,315.0,315.0,315.0,0.46,860,270900.0,270900.0
10/20/2014,315.0,nan,nan,315.0,0.0,0,0.0,0.0
10/21/2014,315.0,315.0,315.0,315.0,0.0,15,472500.0,472500.0
10/22/2014,320.0,320.0,315.0,319.73,1.5,1287,411490.0,411490.0
10/24/2014,320.0,nan,nan,319.73,0.0,0,0.0,0.0
10/27/2014,320.0,nan,nan,319.73,0.0,0,0.0,0.0
10/28/2014,305.0,305.0,300.0,302.13,-5.5,404,122060.0,122060.0
10/29/2014,300.0,301.0,300.0,300.06,-0.69,528,158430.0,158430.0
10/30/2014,315.0,315.0,315.0,315.0,4.98,20,6300.0,6300.0
10/31/2014,315.0,nan,nan,315.0,0.0,0,0.0,0.0
11/03/2014,315.0,nan,nan,315.0,0.0,0,0.0,0.0
11/04/2014,301.0,315.0,301.0,302.4,-4.0,50,15120.0,15120.0
11/05/2014,301.0,nan,nan,302.4,0.0,0,0.0,0.0
11/06/2014,301.0,301.0,301.0,301.0,-0.46,999,300699.0,300699.0
11/07/2014,301.0,301.0,301.0,301.0,0.0,290,87290.0,87290.0
11/10/2014,300.0,301.0,300.0,300.66,-0.11,3431,1031551.0,1031551.0
11/11/2014,300.0,nan,nan,300.66,0.0,0,0.0,0.0
11/12/2014,300.0,nan,nan,300.66,0.0,0,0.0,0.0
11/13/2014,292.0,292.0,292.0,292.0,-2.88,100,29200.0,29200.0
11/14/2014,292.0,292.0,292.0,292.0,0.0,200,58400.0,58400.0
11/17/2014,285.0,286.0,285.0,285.44,-2.25,450,128450.0,128450.0
11/18/2014,284.0,286.0,280.0,284.05,-0.49,4695,1333630.0,1333630.0
11/19/2014,286.0,286.0,285.0,285.01,0.34,2603,741885.0,741885.0
11/20/2014,290.0,290.0,290.0,290.0,1.75,100,29000.0,29000.0
11/21/2014,290.0,290.0,289.0,289.15,-0.29,224,647700.0,647700.0
11/24/2014,282.0,286.0,282.0,282.02,-2.47,60,16921500.0,16921500.0
11/25/2014,282.0,nan,nan,282.02,0.0,0,0.0,0.0
11/26/2014,282.0,282.0,282.0,282.0,-0.01,1105,311610.0,311610.0
11/27/2014,282.0,282.0,282.0,282.0,0.0,5,1410.0,1410.0
11/28/2014,282.0,282.0,282.0,282.0,0.0,75,21150.0,21150.0
12/01/2014,280.0,280.0,280.0,280.0,-0.71,37,10360.0,10360.0
12/02/2014,280.0,nan,nan,280.0,0.0,0,0.0,0.0
12/04/2014,282.0,282.0,282.0,282.0,0.71,350,98700.0,98700.0
12/05/2014,282.0,289.0,282.0,282.19,0.07,1125,317460.0,317460.0
