Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,285.0,285.0,285.0,285.0,,,Hold,Hold,Hold,285.0,285.0,285.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,285.0,285.0,285.0,285.0,,,Hold,Hold,Hold,285.0,285.0,285.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,285.0,285.0,285.0,285.0,,,Hold,Hold,Hold,285.0,285.0,285.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,285.0,285.0,285.0,285.0,,,Hold,Hold,Hold,285.0,285.0,285.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,285.0,285.0,285.0,285.0,,,Hold,Hold,Hold,285.0,285.0,285.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,285.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,280.0,280.0,280.0,280.0,,,Hold,Hold,Hold,280.0,283.75,284.6774193548387,Hold,Sell,Sell,,,,Hold,Hold,Hold,280.0,,,Hold,Hold,Hold,280.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,285.0,285.0,280.0,285.0,284.2857142857143,,Hold,Buy,Hold,285.0,284.0625,284.69823100936526,Hold,Buy,Buy,,,,Hold,Hold,Hold,285.0,283.92857142857144,,Hold,Buy,Hold,285.0,284.2857142857143,,Hold,Buy,Hold,100.0,,,Sell,Hold,Hold,100.0,100.0,,Hold,Hold,,Hold,,,-35.00000000000021,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,0.0,0.0,,Sell,Sell,Hold
08/04/2014,285.0,285.0,285.0,285.0,284.2857142857143,,Hold,Buy,Hold,285.0,284.296875,284.717699976503,Hold,Buy,Buy,,283.73015873015873,,Hold,Buy,Hold,285.0,284.10714285714283,,Hold,Buy,Hold,285.0,284.69866071428567,,Hold,Buy,Hold,,53.84615384615384,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,46.66666666666695,,Hold,Hold,Hold,,7.692307692307688,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
08/05/2014,275.0,275.0,275.0,275.0,282.85714285714283,,Hold,Sell,Hold,275.0,281.97265625,284.0907515909222,Hold,Sell,Sell,,280.218253968254,,Hold,Sell,Hold,275.0,281.7857142857143,,Hold,Sell,Hold,275.0,279.1434151785714,,Hold,Sell,Hold,0.0,21.83708838821491,,Buy,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-173.64341085271204,,Hold,Buy,Hold,-100.0,-56.32582322357019,,Buy,Buy,Hold,,-100.0,,Hold,Buy,Hold
08/06/2014,275.0,275.0,275.0,275.0,281.42857142857144,,Hold,Sell,Hold,275.0,280.2294921875,283.5042514882821,Hold,Sell,Sell,287.0,275.0793650793651,,Sell,Sell,Hold,275.0,279.82142857142856,,Hold,Sell,Hold,275.0,276.09235491071433,,Hold,Sell,Hold,,21.8370883882149,,Hold,Hold,Hold,,0.0,,Hold,Hold,,Hold,,,-106.43274853801206,,Hold,Buy,Hold,,-56.325823223570204,,Hold,Buy,Hold,,-100.0,,Hold,Buy,Hold
