Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/24/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/25/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/29/2014,610.0,610.0,610.0,610.0,0.0,34,20740.0,20740.0
07/30/2014,611.0,611.0,611.0,611.0,0.16,145,88595.0,88595.0
07/31/2014,611.0,nan,nan,611.0,0.0,0,0.0,0.0
08/01/2014,611.0,nan,nan,611.0,0.0,0,0.0,0.0
08/04/2014,611.0,nan,nan,611.0,0.0,0,0.0,0.0
08/05/2014,610.0,611.0,610.0,610.79,-0.03,100,61079.0,61079.0
08/06/2014,610.0,nan,nan,610.79,0.0,0,0.0,0.0
08/07/2014,610.0,nan,nan,610.79,0.0,0,0.0,0.0
08/08/2014,654.0,654.0,654.0,654.0,7.07,40,26160.0,26160.0
08/11/2014,670.0,670.0,653.0,661.36,1.13,106,70104.0,70104.0
08/12/2014,670.0,nan,nan,661.36,0.0,0,0.0,0.0
08/13/2014,670.0,nan,nan,661.36,0.0,0,0.0,0.0
08/14/2014,670.0,nan,nan,661.36,0.0,0,0.0,0.0
08/15/2014,670.0,670.0,670.0,670.0,1.31,30,20100.0,20100.0
08/18/2014,670.0,670.0,670.0,670.0,0.0,20,13400.0,13400.0
08/19/2014,670.0,670.0,670.0,670.0,0.0,50,33500.0,33500.0
08/20/2014,670.0,670.0,670.0,670.0,0.0,60,40200.0,40200.0
08/21/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
08/22/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
08/25/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
08/26/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
08/27/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
08/29/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
09/01/2014,670.0,nan,nan,670.0,0.0,0,0.0,0.0
09/02/2014,616.0,616.0,616.0,616.0,-8.06,15,9240.0,9240.0
09/03/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/04/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/05/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/09/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/10/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/11/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/12/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/15/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/16/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/17/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/18/2014,616.0,616.0,616.0,616.0,0.0,35,21560.0,21560.0
09/19/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/22/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/23/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/24/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/25/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/26/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/29/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
09/30/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/01/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/02/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/03/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/06/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/07/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/08/2014,621.0,621.0,621.0,621.0,0.81,26,16146.0,16146.0
10/09/2014,616.0,616.0,616.0,616.0,-0.81,100,61600.0,61600.0
10/10/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/13/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/14/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/15/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/16/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/17/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/20/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/21/2014,616.0,nan,nan,616.0,0.0,0,0.0,0.0
10/22/2014,677.0,677.0,677.0,677.0,9.9,50,33850.0,33850.0
10/24/2014,677.0,nan,nan,677.0,0.0,0,0.0,0.0
10/27/2014,677.0,nan,nan,677.0,0.0,0,0.0,0.0
10/28/2014,677.0,nan,nan,677.0,0.0,0,0.0,0.0
10/29/2014,677.0,nan,nan,677.0,0.0,0,0.0,0.0
10/30/2014,620.0,620.0,620.0,620.0,-8.42,1,620000.0,620000.0
10/31/2014,620.0,nan,nan,620.0,0.0,0,0.0,0.0
11/03/2014,620.0,nan,nan,620.0,0.0,0,0.0,0.0
11/04/2014,622.0,622.0,622.0,622.0,0.32,49,30478.0,30478.0
11/05/2014,621.0,621.0,621.0,621.0,-0.16,35,21735.0,21735.0
11/06/2014,621.0,nan,nan,621.0,0.0,0,0.0,0.0
11/07/2014,639.0,639.0,639.0,639.0,2.9,452,288828.0,288828.0
11/10/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/11/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/12/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/13/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/14/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/17/2014,639.0,nan,nan,639.0,0.0,0,0.0,0.0
11/18/2014,617.0,617.0,617.0,617.0,-3.44,50,30850.0,30850.0
11/19/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/20/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/21/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/24/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/25/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/26/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/27/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
11/28/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
12/01/2014,617.0,nan,nan,617.0,0.0,0,0.0,0.0
12/02/2014,620.0,620.0,620.0,620.0,0.49,50,31000.0,31000.0
12/04/2014,620.0,nan,nan,620.0,0.0,0,0.0,0.0
12/05/2014,630.0,630.0,630.0,630.0,1.61,87,54810.0,54810.0
12/09/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
12/10/2014,630.0,630.0,630.0,630.0,0.0,50,31500.0,31500.0
12/11/2014,650.0,650.0,650.0,650.0,3.17,216,140400.0,140400.0
12/12/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/15/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/16/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/17/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/18/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/19/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/22/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/23/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/24/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/25/2014,650.0,650.0,650.0,650.0,0.0,107,69550.0,69550.0
12/26/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/29/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
12/30/2014,650.0,650.0,650.0,650.0,0.0,53,34450.0,34450.0
01/02/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/05/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/08/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/09/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/12/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/13/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/14/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/15/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/16/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/20/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/21/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/22/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/23/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/26/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/27/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/28/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/29/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
01/30/2015,650.0,650.0,650.0,650.0,0.0,300,195000.0,195000.0
02/02/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/03/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/04/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/05/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/06/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/09/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/10/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/11/2015,650.0,650.0,650.0,650.0,0.0,20,13000.0,13000.0
02/12/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/13/2015,650.0,650.0,650.0,650.0,0.0,50,32500.0,32500.0
02/16/2015,650.0,650.0,650.0,650.0,0.0,50,32500.0,32500.0
02/17/2015,650.0,650.0,650.0,650.0,0.0,50,32500.0,32500.0
02/18/2015,650.0,650.0,650.0,650.0,0.0,30,19500.0,19500.0
02/19/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/20/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/23/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/24/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/25/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/26/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
02/27/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/02/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/03/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/04/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/05/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/06/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/09/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/10/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/11/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/12/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/13/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/16/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/17/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/18/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/19/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/20/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/23/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/24/2015,650.0,650.0,650.0,650.0,0.0,205,1332500.0,1332500.0
03/25/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/26/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/27/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/30/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
03/31/2015,650.0,nan,nan,650.0,0.0,0,0.0,0.0
04/01/2015,650.0,650.0,650.0,650.0,0.0,100,65000.0,65000.0
04/02/2015,649.0,649.0,649.0,649.0,-0.15,100,64900.0,64900.0
04/03/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/06/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/07/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/08/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/09/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/14/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/15/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/16/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/17/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/20/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/21/2015,649.0,nan,nan,649.0,0.0,0,0.0,0.0
04/22/2015,650.0,650.0,650.0,650.0,0.15,202,131300.0,131300.0
04/23/2015,638.0,638.0,638.0,638.0,-1.85,200,127600.0,127600.0
