Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
07/24/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
07/25/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
07/29/2014,3400.0,nan,nan,3400.0,0.0,0,0.0,0.0
07/30/2014,3740.0,3740.0,3450.0,3587.08,5.5,240,860900.0,860900.0
07/31/2014,3740.0,3740.0,3740.0,3740.0,4.26,6,22440.0,22440.0
08/01/2014,3800.0,3800.0,3740.0,3766.87,0.72,90,339018.0,339018.0
08/04/2014,4143.0,4143.0,3945.0,4126.36,9.54,119,491037.0,491037.0
08/05/2014,4398.0,4538.0,4397.0,4407.88,6.82,1076,4742875.0,4742875.0
08/06/2014,4398.0,4398.0,4398.0,4398.0,-0.22,754,3316092.0,3316092.0
08/07/2014,4398.0,4398.0,4398.0,4398.0,0.0,109,4793820.0,4793820.0
08/08/2014,4398.0,4398.0,4398.0,4398.0,0.0,1355,5959290.0,5959290.0
08/11/2014,4398.0,4399.0,4398.0,4398.1,0.0,288,1266654.0,1266654.0
08/12/2014,4398.0,4398.0,4398.0,4398.0,0.0,1188,5224824.0,5224824.0
08/13/2014,4398.0,4398.0,4398.0,4398.0,0.0,734,3228132.0,3228132.0
08/14/2014,4398.0,4398.0,4398.0,4398.0,0.0,100,439800.0,439800.0
08/15/2014,4398.0,4398.0,4398.0,4398.0,0.0,31,136338.0,136338.0
08/18/2014,4398.0,4398.0,4398.0,4398.0,0.0,123,540954.0,540954.0
08/19/2014,4398.0,nan,nan,4398.0,0.0,0,0.0,0.0
08/20/2014,4400.0,4400.0,4400.0,4400.0,0.05,40,176000.0,176000.0
08/21/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,0.0
08/22/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,0.0
08/25/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,0.0
08/26/2014,4268.0,4268.0,4268.0,4268.0,-3.0,20,85360.0,85360.0
08/27/2014,4268.0,4268.0,4268.0,4268.0,0.0,57,243276.0,243276.0
08/29/2014,4268.0,nan,nan,4268.0,0.0,0,0.0,0.0
09/01/2014,4268.0,4268.0,4268.0,4268.0,0.0,65,277420.0,277420.0
09/02/2014,4300.0,4300.0,4300.0,4300.0,0.75,15,64500.0,64500.0
09/03/2014,4300.0,4300.0,4300.0,4300.0,0.0,65,279500.0,279500.0
09/04/2014,4300.0,nan,nan,4300.0,0.0,0,0.0,0.0
09/05/2014,4400.0,4400.0,4300.0,4379.83,1.86,347,1519800.0,1519800.0
09/09/2014,4400.0,nan,nan,4379.83,0.0,0,0.0,0.0
09/10/2014,4400.0,nan,nan,4379.83,0.0,0,0.0,0.0
09/11/2014,4379.0,4379.0,4379.0,4379.0,-0.02,103,451037.0,451037.0
09/12/2014,4379.0,nan,nan,4379.0,0.0,0,0.0,0.0
09/15/2014,4400.0,4400.0,4400.0,4400.0,0.48,100,440000.0,440000.0
09/16/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,6617600.0
09/17/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,0.0
09/18/2014,4400.0,nan,nan,4400.0,0.0,0,0.0,0.0
09/19/2014,4300.0,4300.0,4300.0,4300.0,-2.27,10,43000.0,43000.0
09/22/2014,4300.0,4300.0,4300.0,4300.0,0.0,12,51600.0,51600.0
09/23/2014,4300.0,nan,nan,4300.0,0.0,0,0.0,0.0
09/24/2014,4300.0,4300.0,4300.0,4300.0,0.0,20,86000.0,86000.0
09/25/2014,4300.0,nan,nan,4300.0,0.0,0,0.0,0.0
09/26/2014,4300.0,nan,nan,4300.0,0.0,0,0.0,0.0
09/29/2014,4300.0,4300.0,4300.0,4300.0,0.0,50,215000.0,215000.0
09/30/2014,4300.0,4301.0,4300.0,4300.14,0.0,148,636420.0,636420.0
10/01/2014,4400.0,4400.0,4399.0,4399.92,2.32,311,1368375.0,1368375.0
