Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,3400.0,3400.0,3400.0,3400.0,,,Hold,Hold,Hold,3400.0,3400.0,3400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,3400.0,3400.0,3400.0,3400.0,,,Hold,Hold,Hold,3400.0,3400.0,3400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,3400.0,3400.0,3400.0,3400.0,,,Hold,Hold,Hold,3400.0,3400.0,3400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,3400.0,3400.0,3400.0,3400.0,,,Hold,Hold,Hold,3400.0,3400.0,3400.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,3400.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/30/2014,3740.0,3740.0,3450.0,3740.0,,,Hold,Hold,Hold,3740.0,3485.0,3421.9354838709683,Hold,Buy,Buy,,,,Hold,Hold,Hold,3740.0,,,Hold,Hold,Hold,3740.0,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,100.0,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,100.0,,,Sell,Hold,Hold,0.0,,,Sell,Hold,Hold
07/31/2014,3740.0,3740.0,3740.0,3740.0,,,Hold,Hold,Hold,3740.0,3548.75,3442.455775234132,Hold,Buy,Buy,,,,Hold,Hold,Hold,3740.0,,,Hold,Hold,Hold,3740.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,3800.0,3800.0,3740.0,3800.0,3554.285714285714,,Hold,Buy,Hold,3800.0,3611.5625,3465.5231445738655,Hold,Buy,Buy,,,,Hold,Hold,Hold,3800.0,3633.5714285714284,,Hold,Buy,Hold,3800.0,3554.285714285714,,Hold,Buy,Hold,100.0,,,Sell,Hold,Hold,100.0,100.0,,Hold,Hold,,Hold,,,102.73933102652843,,Hold,Sell,Hold,100.0,,,Sell,Hold,Hold,0.0,0.0,,Sell,Sell,Hold
08/04/2014,4143.0,4143.0,3945.0,4143.0,3660.4285714285716,,Hold,Buy,Hold,4143.0,3744.421875,3509.231328794907,Hold,Buy,Buy,,4063.6428571428573,,Hold,Buy,Hold,4143.0,3780.75,,Hold,Buy,Hold,4143.0,3894.6361607142853,,Hold,Buy,Hold,100.0,100.0,,Sell,Sell,Hold,100.0,100.0,,Hold,Hold,,Hold,,,146.92587324166283,,Hold,Sell,Hold,100.0,100.0,,Sell,Sell,Hold,0.0,0.0,,Sell,Sell,Hold
08/05/2014,4398.0,4538.0,4397.0,4398.0,3803.0,,Hold,Buy,Hold,4398.0,3907.81640625,3566.5712430662034,Hold,Buy,Buy,,4355.099206349206,,Hold,Buy,Hold,4398.0,3965.1428571428573,,Hold,Buy,Hold,4398.0,4228.330915178571,,Hold,Buy,Hold,100.0,100.0,,Sell,Sell,Hold,0.7092198581560284,87.69771528998243,,Hold,Hold,Sell,Hold,,,161.57518296739858,,Hold,Sell,Hold,100.0,100.0,,Sell,Sell,Hold,-99.29078014184397,-12.302284710017574,,Buy,Sell,Hold
08/06/2014,4398.0,4398.0,4398.0,4398.0,3945.5714285714284,,Hold,Buy,Hold,4398.0,4030.3623046875,3620.211808029674,Hold,Buy,Buy,3545.4909090909086,4551.912698412699,,Buy,Sell,Hold,4398.0,4113.892857142857,,Hold,Buy,Hold,4398.0,4402.150948660715,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,87.69771528998243,,Hold,Hold,Sell,Hold,,,96.50001391091462,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-12.302284710017574,,Hold,Sell,Hold
08/07/2014,4398.0,4398.0,4398.0,4398.0,4088.1428571428573,,Hold,Buy,Hold,4398.0,4122.271728515625,3670.3916913825988,Hold,Buy,Buy,3769.527272727273,4578.369047619048,,Buy,Sell,Hold,4398.0,4227.0,,Hold,Buy,Hold,4398.0,4481.299595424106,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,87.13235294117646,,Hold,Hold,Sell,Hold,,,73.69991474850816,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-12.867647058823529,,Hold,Sell,Hold
08/08/2014,4398.0,4398.0,4398.0,4398.0,4182.142857142857,,Hold,Buy,Hold,4398.0,4191.203796386719,3717.3341629063025,Hold,Buy,Buy,3957.272727272728,4517.357142857143,,Buy,Sell,Hold,4398.0,4304.464285714285,,Hold,Buy,Hold,4398.0,4506.840218680243,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,82.45614035087719,,Hold,Hold,Sell,Hold,,,55.43469009073413,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-17.543859649122805,,Hold,Sell,Hold
08/11/2014,4398.0,4399.0,4398.0,4398.0,4276.142857142857,,Hold,Buy,Hold,4398.0,4242.902847290039,3761.2480878800898,Hold,Buy,Buy,4108.727272727272,4455.559523809524,,Buy,Sell,Hold,4398.0,4358.428571428572,,Hold,Buy,Hold,4398.0,4504.073606218609,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,0.0,82.45614035087719,,Hold,Hold,Sell,Hold,,,43.596704954170704,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,-100.0,-17.543859649122805,,Buy,Sell,Hold
08/12/2014,4398.0,4398.0,4398.0,4398.0,4361.571428571428,,Hold,Buy,Hold,4398.0,4281.677135467529,3802.328856403955,Hold,Buy,Buy,4223.890909090909,4417.261904761905,,Buy,Sell,Hold,4398.0,4388.892857142857,,Hold,Buy,Hold,4398.0,4488.139761788504,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,76.39123102866779,,Hold,Hold,,Hold,,,32.449025571702165,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-23.608768971332207,,Hold,Hold,Hold
08/13/2014,4398.0,4398.0,4398.0,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4310.757851600647,3840.7592527649904,Hold,Buy,Buy,4302.763636363636,4401.035714285715,,Buy,Sell,Hold,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4467.732220785958,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,0.7092198581560284,,Hold,Hold,,Hold,,,-39.21568627451309,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-99.29078014184397,,Hold,Buy,Hold
08/14/2014,4398.0,4398.0,4398.0,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4332.568388700485,3876.7102687156366,Hold,Buy,Buy,4357.709090909091,4398.0,,Buy,Hold,Hold,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4447.5364513737795,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-38.888888889012684,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/15/2014,4398.0,4398.0,4398.0,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4348.926291525364,3910.34186428237,Hold,Buy,Buy,4388.727272727272,4398.0,,Buy,Hold,Hold,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4429.811605019227,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-38.888888889012684,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/18/2014,4398.0,4398.0,4398.0,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4361.194718644023,3941.803679489959,Hold,Buy,Buy,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4415.401630244083,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-38.888888889012684,,Hold,Hold,Hold,,100.0,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/19/2014,4398.0,4398.0,4398.0,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4370.396038983017,3971.2357001680266,Hold,Buy,Buy,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4398.0,,Hold,Hold,Hold,4398.0,4404.369775002555,,Hold,Sell,Hold,,99.99999999999999,,Hold,Sell,Hold,,0.0,,Hold,Hold,,Hold,,,-38.888888889012684,,Hold,Hold,Hold,,99.99999999999999,,Hold,Sell,Hold,,-100.0,,Hold,Buy,Hold
08/20/2014,4400.0,4400.0,4400.0,4400.0,4398.285714285715,,Hold,Buy,Hold,4400.0,4377.797029237263,3998.8979130604125,Hold,Buy,Buy,4396.727272727272,4399.0,,Buy,Buy,Hold,4400.0,4398.5,,Hold,Buy,Hold,4400.0,4397.543513586345,,Hold,Buy,Hold,100.0,99.99999999999999,,Sell,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,233.33333333314766,,Hold,Sell,Hold,100.0,99.99999999999999,,Sell,Sell,Hold,,0.0,,Hold,Sell,Hold
08/21/2014,4400.0,4400.0,4400.0,4400.0,4398.571428571428,,Hold,Buy,Hold,4400.0,4383.347771927947,4024.7754670565155,Hold,Buy,Buy,4397.381818181819,4400.103174603175,,Buy,Sell,Hold,4400.0,4398.928571428572,,Hold,Buy,Hold,4400.0,4392.752723011687,,Hold,Buy,Hold,,100.0,,Hold,Sell,Hold,,100.0,,Hold,Hold,,Hold,,,116.66666666668524,,Hold,Sell,Hold,,100.0,,Hold,Sell,Hold,,0.0,,Hold,Sell,Hold
