Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/24/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/25/2014,610.0,nan,nan,610.0,0.0,0,0.0,0.0
07/29/2014,567.0,567.0,551.0,556.98,-8.69,535,297985.0,297985.0
07/30/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
07/31/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
08/01/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
08/04/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
08/05/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
08/06/2014,567.0,nan,nan,556.98,0.0,0,0.0,0.0
08/07/2014,573.0,573.0,573.0,573.0,2.88,100,57300.0,57300.0
08/08/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
08/11/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
08/12/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
08/13/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
08/14/2014,573.0,nan,nan,573.0,0.0,0,0.0,0.0
08/15/2014,630.0,630.0,630.0,630.0,9.95,70,44100.0,44100.0
08/18/2014,612.0,612.0,612.0,612.0,-2.86,189,115668.0,115668.0
08/19/2014,612.0,nan,nan,612.0,0.0,0,0.0,0.0
08/20/2014,612.0,nan,nan,612.0,0.0,0,0.0,0.0
08/21/2014,620.0,630.0,610.0,623.77,1.92,167,104170.0,104170.0
08/22/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
08/25/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
08/26/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
08/27/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
08/29/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
09/01/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
09/02/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
09/03/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
09/04/2014,620.0,nan,nan,623.77,0.0,0,0.0,0.0
09/05/2014,606.0,606.0,606.0,606.0,-2.85,100,60600.0,60600.0
09/09/2014,606.0,nan,nan,606.0,0.0,0,0.0,0.0
09/10/2014,666.0,666.0,666.0,666.0,9.9,45,29970.0,29970.0
09/11/2014,690.0,690.0,685.0,685.38,2.91,40,27415.0,27415.0
09/12/2014,690.0,nan,nan,685.38,0.0,0,0.0,0.0
09/15/2014,690.0,nan,nan,685.38,0.0,0,0.0,0.0
09/16/2014,690.0,nan,nan,685.38,0.0,0,0.0,0.0
09/17/2014,650.0,650.0,650.0,650.0,-5.16,10,6500.0,6500.0
09/18/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
09/19/2014,650.0,650.0,650.0,650.0,0.0,90,58500.0,58500.0
09/22/2014,650.0,nan,nan,650.0,0.0,0,0.0,0.0
09/23/2014,611.0,611.0,611.0,611.0,-6.0,43,26273.0,26273.0
09/24/2014,611.0,nan,nan,611.0,0.0,0,0.0,0.0
09/25/2014,611.0,nan,nan,611.0,0.0,0,0.0,0.0
09/26/2014,600.0,600.0,600.0,600.0,-1.8,150,90000.0,90000.0
09/29/2014,600.0,nan,nan,600.0,0.0,0,0.0,0.0
09/30/2014,639.0,639.0,610.0,612.61,2.1,100,61261.0,61261.0
10/01/2014,639.0,nan,nan,612.61,0.0,0,0.0,0.0
10/02/2014,612.0,612.0,612.0,612.0,-0.1,150,91800.0,91800.0
10/03/2014,600.0,600.0,600.0,600.0,-1.96,400,240000.0,240000.0
10/06/2014,600.0,nan,nan,600.0,0.0,0,0.0,0.0
10/07/2014,600.0,618.0,600.0,603.32,0.55,470,283560.0,283560.0
10/08/2014,600.0,nan,nan,603.32,0.0,0,0.0,0.0
10/09/2014,617.0,617.0,617.0,617.0,2.27,27,16659.0,16659.0
10/10/2014,617.0,617.0,617.0,617.0,0.0,125,77125.0,77125.0
10/13/2014,630.0,630.0,630.0,630.0,2.11,200,126000.0,126000.0
10/14/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/15/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/16/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/17/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/20/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/21/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/22/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/24/2014,630.0,nan,nan,630.0,0.0,0,0.0,0.0
10/27/2014,600.0,630.0,600.0,620.0,-1.59,150,93000.0,93000.0
10/28/2014,600.0,nan,nan,620.0,0.0,0,0.0,0.0
10/29/2014,600.0,nan,nan,620.0,0.0,0,0.0,0.0
10/30/2014,595.0,595.0,595.0,595.0,-4.03,10,5950.0,5950.0
10/31/2014,600.0,600.0,595.0,599.41,0.74,510,305700.0,305700.0
11/03/2014,650.0,650.0,633.0,635.69,6.05,714,453883.0,453883.0
11/04/2014,650.0,650.0,650.0,650.0,2.25,350,227500.0,227500.0
11/05/2014,699.0,699.0,699.0,699.0,7.54,100,69900.0,69900.0
11/06/2014,699.0,nan,nan,699.0,0.0,0,0.0,0.0
11/07/2014,699.0,nan,nan,699.0,0.0,0,0.0,0.0
11/10/2014,699.0,nan,nan,699.0,0.0,0,0.0,0.0
11/11/2014,699.0,nan,nan,699.0,0.0,0,0.0,0.0
11/12/2014,719.0,719.0,700.0,713.86,2.13,111,79239.0,79239.0
11/13/2014,750.0,750.0,750.0,750.0,5.06,95,71250.0,71250.0
11/14/2014,772.0,772.0,693.0,698.81,-6.83,136,95038.0,95038.0
11/17/2014,768.0,768.0,768.0,768.0,9.9,10,7680.0,7680.0
11/18/2014,768.0,nan,nan,768.0,0.0,0,0.0,0.0
11/19/2014,768.0,nan,nan,768.0,0.0,0,0.0,0.0
11/20/2014,710.0,730.0,710.0,713.32,-7.12,182,129824.0,129824.0
11/21/2014,767.0,767.0,767.0,767.0,7.53,20,15340.0,15340.0
11/24/2014,840.0,840.0,750.0,761.25,-0.75,160,121800.0,121800.0
11/25/2014,837.0,837.0,837.0,837.0,9.95,60,50220.0,50220.0
11/26/2014,837.0,nan,nan,837.0,0.0,0,0.0,0.0
11/27/2014,837.0,837.0,836.0,836.2,-0.1,264,220757.0,220757.0
11/28/2014,837.0,nan,nan,836.2,0.0,0,0.0,0.0
12/01/2014,837.0,nan,nan,836.2,0.0,0,0.0,0.0
12/02/2014,837.0,nan,nan,836.2,0.0,0,0.0,0.0
12/04/2014,753.0,753.0,753.0,753.0,-9.95,25,18825.0,18825.0
12/05/2014,750.0,750.0,750.0,750.0,-0.4,30,22500.0,22500.0
12/09/2014,750.0,nan,nan,750.0,0.0,0,0.0,0.0
12/10/2014,750.0,nan,nan,750.0,0.0,0,0.0,0.0
12/11/2014,790.0,790.0,750.0,756.0,0.8,20,15120.0,15120.0
12/12/2014,790.0,nan,nan,756.0,0.0,0,0.0,0.0
12/15/2014,790.0,nan,nan,756.0,0.0,0,0.0,0.0
12/16/2014,690.0,690.0,690.0,690.0,-8.73,318,219420.0,219420.0
12/17/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/18/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/19/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/22/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/23/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/24/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/25/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/26/2014,690.0,nan,nan,690.0,0.0,0,0.0,0.0
12/29/2014,749.0,749.0,749.0,749.0,8.55,50,37450.0,37450.0
12/30/2014,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/02/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/05/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/08/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/09/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/12/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/13/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/14/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/15/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/16/2015,749.0,nan,nan,749.0,0.0,0,0.0,0.0
01/20/2015,676.0,676.0,676.0,676.0,-9.75,40,27040.0,27040.0
01/21/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
01/22/2015,696.0,696.0,696.0,696.0,2.96,70,48720.0,48720.0
01/23/2015,676.0,676.0,676.0,676.0,-2.87,23,15548.0,15548.0
01/26/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
01/27/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
01/28/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
01/29/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
01/30/2015,676.0,676.0,676.0,676.0,0.0,40,27040.0,27040.0
02/02/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/03/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/04/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/05/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/06/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/09/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/10/2015,676.0,nan,nan,676.0,0.0,0,0.0,0.0
02/11/2015,656.0,656.0,656.0,656.0,-2.96,25,16400.0,16400.0
02/12/2015,656.0,nan,nan,656.0,0.0,0,0.0,0.0
02/13/2015,656.0,nan,nan,656.0,0.0,0,0.0,0.0
02/16/2015,656.0,nan,nan,656.0,0.0,0,0.0,0.0
02/17/2015,637.0,637.0,637.0,637.0,-2.9,60,38220.0,38220.0
02/18/2015,637.0,nan,nan,637.0,0.0,0,0.0,0.0
02/19/2015,637.0,nan,nan,637.0,0.0,0,0.0,0.0
02/20/2015,637.0,nan,nan,637.0,0.0,0,0.0,0.0
02/23/2015,637.0,nan,nan,637.0,0.0,0,0.0,0.0
02/24/2015,620.0,620.0,620.0,620.0,-2.67,50,31000.0,31000.0
02/25/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
02/26/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
02/27/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
03/02/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
03/03/2015,602.0,602.0,602.0,602.0,-2.9,100,60200.0,60200.0
03/04/2015,620.0,620.0,620.0,620.0,2.99,77,47740.0,47740.0
03/05/2015,620.0,620.0,620.0,620.0,0.0,125,77500.0,77500.0
03/06/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
03/09/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
03/10/2015,620.0,nan,nan,620.0,0.0,0,0.0,0.0
03/11/2015,601.0,601.0,601.0,601.0,-3.06,5,3005.0,3005.0
03/12/2015,619.0,619.0,619.0,619.0,3.0,147,90993.0,90993.0
03/13/2015,619.0,nan,nan,619.0,0.0,0,0.0,0.0
03/16/2015,619.0,nan,nan,619.0,0.0,0,0.0,0.0
03/17/2015,630.0,630.0,630.0,630.0,1.78,100,63000.0,63000.0
03/18/2015,636.0,636.0,636.0,636.0,0.95,100,63600.0,63600.0
03/19/2015,636.0,nan,nan,636.0,0.0,0,0.0,0.0
03/20/2015,636.0,nan,nan,636.0,0.0,0,0.0,0.0
03/23/2015,655.0,655.0,655.0,655.0,2.99,100,65500.0,65500.0
03/24/2015,655.0,nan,nan,655.0,0.0,0,0.0,0.0
03/25/2015,602.0,602.0,602.0,602.0,-8.09,791,476182.0,476182.0
03/26/2015,602.0,nan,nan,602.0,0.0,0,0.0,0.0
03/27/2015,602.0,nan,nan,602.0,0.0,0,0.0,0.0
03/30/2015,610.0,610.0,610.0,610.0,1.33,75,45750.0,45750.0
03/31/2015,610.0,nan,nan,610.0,0.0,0,0.0,0.0
04/01/2015,610.0,nan,nan,610.0,0.0,0,0.0,0.0
04/02/2015,601.0,601.0,601.0,601.0,-1.48,195,117195.0,117195.0
04/03/2015,601.0,nan,nan,601.0,0.0,0,0.0,0.0
04/06/2015,590.0,590.0,590.0,590.0,-1.83,30,17700.0,17700.0
04/07/2015,590.0,590.0,590.0,590.0,0.0,521,307390.0,307390.0
04/08/2015,600.0,600.0,600.0,600.0,1.69,60,36000.0,36000.0
04/09/2015,600.0,600.0,600.0,600.0,0.0,140,84000.0,84000.0
04/14/2015,600.0,nan,nan,600.0,0.0,0,0.0,0.0
04/15/2015,600.0,nan,nan,600.0,0.0,0,0.0,0.0
04/16/2015,600.0,nan,nan,600.0,0.0,0,0.0,0.0
04/17/2015,600.0,nan,nan,600.0,0.0,0,0.0,0.0
04/20/2015,600.0,nan,nan,600.0,0.0,0,0.0,0.0
