Date,Last trade price,Max,Min,1 Day SMA,1 Week SMA,1 Month SMA,1 Day SMA Signals,1 Week SMA Signals,1 Month SMA Signals,1 Day EMA,1 Week EMA,1 Month EMA,1 Day EMA Signals,1 Week EMA Signals,1 Month EMA Signals,1 Day HMA,1 Week HMA,1 Month HMA,1 Day HMA Signals,1 Week HMA Signals,1 Month HMA Signals,1 Day WMA,1 Week WMA,1 Month WMA,1 Day WMA Signals,1 Week WMA Signals,1 Month WMA Signals,1 Day TEMA,1 Week TEMA,1 Month TEMA,1 Day TEMA Signals,1 Week TEMA Signals,1 Month TEMA Signals,1 Day RSI,1 Week RSI,1 Month RSI,1 Day RSI Signals,1 Week RSI Signals,1 Month RSI Signals,1 Day STOCH,1 Week STOCH,1 Month STOCH,1 Day STOCH Signals,1 Week Signals,1 Week STOCH Signals,1 Month Signals,1 Month STOCH Signals,1 Day CCI,1 Week CCI,1 Month CCI,1 Day CCI Signals,1 Week CCI Signals,1 Month CCI Signals,1 Day CMO,1 Week CMO,1 Month CMO,1 Day CMO Signals,1 Week CMO Signals,1 Month CMO Signals,1 Day Williams %R,1 Week Williams %R,1 Month Williams %R,1 Day Williams %R Signals,1 Week Williams %R Signals,1 Month Williams %R Signals
07/23/2014,610.0,610.0,610.0,610.0,,,Hold,Hold,Hold,610.0,610.0,610.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/24/2014,610.0,610.0,610.0,610.0,,,Hold,Hold,Hold,610.0,610.0,610.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/25/2014,610.0,610.0,610.0,610.0,,,Hold,Hold,Hold,610.0,610.0,610.0,Hold,Hold,Hold,,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,610.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/29/2014,567.0,567.0,551.0,567.0,,,Hold,Hold,Hold,567.0,599.25,607.2258064516129,Hold,Sell,Sell,,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,0.0,,,Buy,Hold,Hold,100.0,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,-100.0,,,Buy,Hold,Hold,0.0,,,Sell,Hold,Hold
07/30/2014,567.0,567.0,567.0,567.0,,,Hold,Hold,Hold,567.0,591.1875,604.6305931321541,Hold,Sell,Sell,,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
07/31/2014,567.0,567.0,567.0,567.0,,,Hold,Hold,Hold,567.0,585.140625,602.2028129300797,Hold,Sell,Sell,,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,567.0,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,,Hold,,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,,,Hold,Hold,Hold
08/01/2014,567.0,567.0,567.0,567.0,585.4285714285714,,Hold,Sell,Hold,567.0,580.60546875,599.9316637087843,Hold,Sell,Sell,,,,Hold,Hold,Hold,567.0,576.2142857142857,,Hold,Sell,Hold,567.0,585.4285714285714,,Hold,Sell,Hold,,,,Hold,Hold,Hold,,27.11864406779661,,Hold,Hold,,Hold,,,-54.239766081871224,,Hold,Hold,Hold,,,,Hold,Hold,Hold,,-72.88135593220339,,Hold,Hold,Hold
08/04/2014,567.0,567.0,567.0,567.0,579.2857142857143,,Hold,Sell,Hold,567.0,577.2041015625,597.8070402437015,Hold,Sell,Sell,,560.8571428571428,,Hold,Buy,Hold,567.0,571.6071428571429,,Hold,Sell,Hold,567.0,574.7745535714287,,Hold,Sell,Hold,,0.0,,Hold,Buy,Hold,,27.11864406779661,,Hold,Hold,,Hold,,,-42.71306101865858,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,-72.88135593220339,,Hold,Hold,Hold
08/05/2014,567.0,567.0,567.0,567.0,573.1428571428571,,Hold,Sell,Hold,567.0,574.653076171875,595.819489260237,Hold,Sell,Sell,,564.4404761904761,,Hold,Buy,Hold,567.0,568.5357142857143,,Hold,Sell,Hold,567.0,568.9436383928572,,Hold,Sell,Hold,,0.0,,Hold,Buy,Hold,,27.11864406779661,,Hold,Hold,,Hold,,,-33.375527426160424,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,-72.88135593220339,,Hold,Hold,Hold
08/06/2014,567.0,567.0,567.0,567.0,567.0,,Hold,Hold,Hold,567.0,572.7398071289062,593.9601673724799,Hold,Sell,Sell,576.3818181818183,566.4880952380953,,Sell,Buy,Hold,567.0,567.0,,Hold,Hold,Hold,567.0,566.0281808035713,,Hold,Buy,Hold,,0.0,,Hold,Buy,Hold,,100.0,,Hold,Hold,,Hold,,,38.888888888890335,,Hold,Hold,Hold,,-100.0,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/07/2014,573.0,573.0,573.0,573.0,567.8571428571429,,Hold,Buy,Hold,573.0,572.8048553466797,592.6078985097392,Hold,Buy,Sell,567.8727272727272,570.0,,Buy,Buy,Hold,573.0,568.5,,Hold,Buy,Hold,573.0,568.2821568080357,,Hold,Buy,Hold,100.0,29.103020018369094,,Sell,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,233.33333333332817,,Hold,Sell,Hold,100.0,-41.79395996326181,,Sell,Buy,Hold,,0.0,,Hold,Sell,Hold
08/08/2014,573.0,573.0,573.0,573.0,568.7142857142857,,Hold,Buy,Hold,573.0,572.8536415100098,591.3428727994335,Hold,Buy,Sell,566.709090909091,573.3095238095237,,Buy,Sell,Hold,573.0,569.7857142857143,,Hold,Buy,Hold,573.0,569.90727015904,,Hold,Buy,Hold,,29.103020018369094,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,116.666666666669,,Hold,Sell,Hold,,-41.79395996326181,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/11/2014,573.0,573.0,573.0,573.0,569.5714285714286,,Hold,Buy,Hold,573.0,572.8902311325073,590.159461651083,Hold,Buy,Sell,566.8909090909092,574.8333333333334,,Buy,Sell,Hold,573.0,570.8571428571429,,Hold,Buy,Hold,573.0,571.0614820207867,,Hold,Buy,Hold,,29.103020018369094,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,77.77777777777821,,Hold,Hold,Hold,,-41.793959963261806,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/12/2014,573.0,573.0,573.0,573.0,570.4285714285714,,Hold,Buy,Hold,573.0,572.9176733493805,589.0523996090777,Hold,Buy,Sell,568.4181818181819,574.5714285714286,,Buy,Sell,Hold,573.0,571.7142857142857,,Hold,Buy,Hold,573.0,571.8669760567799,,Hold,Buy,Hold,,29.10302001836909,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,58.333333333333016,,Hold,Hold,Hold,,-41.793959963261806,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
08/13/2014,573.0,573.0,573.0,573.0,571.2857142857143,,Hold,Buy,Hold,573.0,572.9382550120354,588.0167609246212,Hold,Buy,Sell,569.7272727272727,573.8571428571428,,Buy,Sell,Hold,573.0,572.3571428571429,,Hold,Buy,Hold,573.0,572.4171998160226,,Hold,Buy,Hold,,29.103020018369097,,Hold,Hold,Hold,,100.0,,Hold,Hold,,Hold,,,46.66666666666574,,Hold,Hold,Hold,,-41.793959963261806,,Hold,Buy,Hold,,0.0,,Hold,Sell,Hold
