Date,Last trade price,Max,Min,Avg.Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
07/23/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
07/24/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
07/25/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
07/29/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
07/30/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
07/31/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/01/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/04/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/05/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/06/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/07/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/08/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/11/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/12/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/13/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/14/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/15/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/18/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/19/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/20/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/21/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/22/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/25/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/26/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/27/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
08/29/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
09/01/2014,15800.0,nan,nan,15800.0,0.0,0,0.0,0.0
09/02/2014,15326.0,15326.0,15000.0,15250.77,-3.48,26,396520.0,396520.0
09/03/2014,15326.0,nan,nan,15250.77,0.0,0,0.0,0.0
09/04/2014,15000.0,15000.0,15000.0,15000.0,-1.64,5,75000.0,75000.0
09/05/2014,15000.0,nan,nan,15000.0,0.0,0,0.0,0.0
09/09/2014,15000.0,nan,nan,15000.0,0.0,0,0.0,0.0
09/10/2014,15000.0,nan,nan,15000.0,0.0,0,0.0,0.0
09/11/2014,16500.0,16500.0,16500.0,16500.0,10.0,6,99000.0,99000.0
09/12/2014,18150.0,18150.0,18150.0,18150.0,10.0,1,18150.0,18150.0
09/15/2014,21780.0,21780.0,21780.0,21780.0,20.0,9,196020.0,196020.0
09/16/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/17/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/18/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/19/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/22/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/23/2014,21780.0,nan,nan,21780.0,0.0,0,0.0,0.0
09/24/2014,20000.0,20000.0,20000.0,20000.0,-8.17,6,120000.0,120000.0
09/25/2014,20000.0,nan,nan,20000.0,0.0,0,0.0,0.0
09/26/2014,20000.0,nan,nan,20000.0,0.0,0,0.0,0.0
09/29/2014,23000.0,23000.0,23000.0,23000.0,15.0,5,115000.0,115000.0
09/30/2014,22000.0,22000.0,22000.0,22000.0,-4.35,55,1210000.0,1210000.0
10/01/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
10/02/2014,22000.0,22000.0,22000.0,22000.0,0.0,5,110000.0,110000.0
10/03/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
10/06/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
10/07/2014,22000.0,22000.0,22000.0,22000.0,0.0,40,880000.0,880000.0
10/08/2014,22000.0,22000.0,22000.0,22000.0,0.0,1,22000.0,22000.0
10/09/2014,22000.0,nan,nan,22000.0,0.0,0,0.0,0.0
10/10/2014,22500.0,22500.0,22500.0,22500.0,2.27,9,202500.0,202500.0
10/13/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/14/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/15/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/16/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/17/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/20/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/21/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/22/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/24/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/27/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/28/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/29/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/30/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
10/31/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/03/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/04/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/05/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/06/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/07/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/10/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/11/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/12/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/13/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/14/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/17/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/18/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/19/2014,22500.0,nan,nan,22500.0,0.0,0,0.0,0.0
11/20/2014,22850.0,22850.0,22850.0,22850.0,1.56,10,228500.0,228500.0
11/21/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
11/24/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
11/25/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
11/26/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
11/27/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
11/28/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/01/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/02/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/04/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/05/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/09/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/10/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/11/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/12/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/15/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/16/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/17/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/18/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/19/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/22/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/23/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/24/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/25/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/26/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/29/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
12/30/2014,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/02/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/05/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/08/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/09/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/12/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
01/13/2015,22850.0,nan,nan,22850.0,0.0,0,0.0,0.0
